Adecoagro S.A Price to Free Cash Flow Ratio Historical Data,Adecoagro S.A Price to Free Cash Flow Ratio Historical Data,Adecoagro S.A Price to Free Cash Flow Ratio Historical Data,Adecoagro S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.9,,12.83
2024-09-30,10.9,$0.85,12.83
2024-06-30,9.58,$2.85,3.37
2024-03-31,10.69,$2.11,5.07
2023-12-31,10.77,$2.14,5.03
2023-09-30,11.16,$2.82,3.96
2023-06-30,8.94,$1.18,7.57
2023-03-31,7.58,$1.10,6.91
2022-12-31,7.77,$1.41,5.51
2022-09-30,7.63,$0.56,13.55
2022-06-30,7.78,$0.78,9.96
2022-03-31,10.96,$1.08,10.19
2021-12-31,6.97,$1.29,5.4
2021-09-30,8.19,$1.10,7.47
2021-06-30,9.11,$0.86,10.62
2021-03-31,7.13,$0.31,22.72
2020-12-31,6.17,$0.86,7.19
2020-09-30,4.24,$1.08,3.92
2020-06-30,3.94,$1.27,3.11
2020-03-31,3.53,$1.17,3.02
2019-12-31,7.6,$0.62,12.24
2019-09-30,5.29,$0.28,19.15
2019-06-30,6.48,$0.21,31.3
2019-03-31,6.25,$0.21,29.89
2018-12-31,6.32,$0.33,19.09
2018-09-30,6.67,$0.77,8.62
2018-06-30,7.21,$0.10,69.04
2018-03-31,6.82,$0.30,23.01
2017-12-31,9.38,$0.33,28.52
2017-09-30,9.8,$0.83,11.87
2017-06-30,9.07,$0.97,9.39
2017-03-31,10.4,$0.60,17.31
2016-12-31,9.42,$1.00,9.39
2016-09-30,10.35,$0.25,41.58
2016-06-30,9.96,$0.18,54.61
2016-03-31,10.48,$0.04,237.14
2015-12-31,11.15,$0.19,58.61
2015-09-30,7.22,$-0.36,0.0
2015-06-30,8.37,$-0.32,0.0
2015-03-31,9.27,$-0.24,0.0
2014-12-31,7.27,$-0.62,0.0
2014-09-30,7.99,$-1.46,0.0
2014-06-30,8.57,$-0.22,0.0
2014-03-31,7.41,$-0.49,0.0
2013-12-31,7.34,$-0.20,0.0
2013-09-30,6.72,$0.50,13.56
2013-06-30,5.67,$0.94,6.05
2013-03-31,6.98,$-0.24,0.0
2012-12-31,7.7,$-0.25,0.0
2012-09-30,9.13,$-0.29,0.0
2012-06-30,8.32,$-1.87,0.0
2012-03-31,9.81,$-0.11,0.0
2011-12-31,7.5,$-0.09,0.0
