HWH Price to Free Cash Flow Ratio Historical Data,HWH Price to Free Cash Flow Ratio Historical Data,HWH Price to Free Cash Flow Ratio Historical Data,HWH Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.32,,0.43
2024-09-30,0.88,$3.09,0.28
2024-06-30,1.02,$3.89,0.26
2024-03-31,0.95,$2.78,0.34
2023-12-31,10.3,$2.63,3.92
2023-11-30,10.7,$-1.63,0.0
2023-09-30,10.51,$-4.73,0.0
2023-08-31,10.47,$-2.99,0.0
2023-06-30,10.9,$-3.41,0.0
2023-05-31,10.4,$-2.24,0.0
2023-03-31,10.28,$-0.11,0.0
2023-02-28,10.25,$-0.78,0.0
