Smart Share Global Price to Free Cash Flow Ratio Historical Data,Smart Share Global Price to Free Cash Flow Ratio Historical Data,Smart Share Global Price to Free Cash Flow Ratio Historical Data,Smart Share Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.12,,8.55
2024-09-30,0.71,$0.13,5.42
2024-06-30,0.86,$0.13,6.55
2024-03-31,0.66,$0.13,5.02
2023-12-31,0.5,$0.13,3.82
2023-09-30,0.76,$0.15,5.02
2023-06-30,0.98,$0.15,6.48
2023-03-31,1.11,$0.15,7.38
2022-12-31,1.14,$0.15,7.58
2022-09-30,0.7,0,0.0
2022-06-30,1.11,0,0.0
