Bausch Health Cos Price to Free Cash Flow Ratio Historical Data,Bausch Health Cos Price to Free Cash Flow Ratio Historical Data,Bausch Health Cos Price to Free Cash Flow Ratio Historical Data,Bausch Health Cos Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.13,,2.08
2024-12-31,8.06,$3.42,2.35
2024-09-30,8.16,$2.88,2.83
2024-06-30,6.97,$2.63,2.65
2024-03-31,10.61,$2.30,4.62
2023-12-31,8.02,$2.24,3.58
2023-09-30,8.22,$2.55,3.22
2023-06-30,8.0,$-1.73,0.0
2023-03-31,8.1,$-2.02,0.0
2022-12-31,6.28,$-2.61,0.0
2022-09-30,6.89,$-3.81,0.0
2022-06-30,8.36,$2.94,2.85
2022-03-31,22.85,$3.72,6.15
2021-12-31,27.61,$5.09,5.43
2021-09-30,27.85,$6.12,4.55
2021-06-30,29.32,$3.43,8.56
2021-03-31,31.74,$2.81,11.29
2020-12-31,20.8,$2.34,8.9
2020-09-30,15.54,$1.83,8.48
2020-06-30,18.29,$2.66,6.87
2020-03-31,15.5,$3.11,4.99
2019-12-31,29.92,$3.62,8.26
2019-09-30,21.85,$3.91,5.58
2019-06-30,25.22,$5.84,4.32
