WesBanco Price to Free Cash Flow Ratio Historical Data,WesBanco Price to Free Cash Flow Ratio Historical Data,WesBanco Price to Free Cash Flow Ratio Historical Data,WesBanco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,31.76,,9.92
2024-12-31,32.54,$3.20,10.16
2024-09-30,29.48,$2.88,10.23
2024-06-30,27.31,$3.14,8.71
2024-03-31,28.78,$3.53,8.15
2023-12-31,29.92,$2.47,12.11
2023-09-30,23.0,$1.77,12.97
2023-06-30,23.78,$2.57,9.26
2023-03-31,28.16,$2.47,11.4
2022-12-31,33.56,$3.26,10.3
2022-09-30,30.01,$4.04,7.42
2022-06-30,28.24,$3.02,9.35
2022-03-31,30.28,$5.02,6.03
2021-12-31,30.53,$4.99,6.12
2021-09-30,29.45,$4.71,6.25
2021-06-30,30.47,$2.87,10.63
2021-03-31,30.57,$1.07,28.65
2020-12-31,25.17,$0.77,32.55
2020-09-30,17.76,$0.35,50.08
2020-06-30,16.64,$2.66,6.25
2020-03-31,19.12,$2.24,8.55
2019-12-31,30.05,$2.69,11.17
2019-09-30,29.46,$3.99,7.38
2019-06-30,30.12,$3.69,8.15
2019-03-31,30.79,$4.00,7.7
2018-12-31,28.2,$3.82,7.38
2018-09-30,34.02,$3.48,9.76
2018-06-30,34.16,$3.32,10.28
2018-03-31,31.89,$2.78,11.49
2017-12-31,30.44,$3.09,9.86
2017-09-30,30.53,$2.85,10.71
2017-06-30,29.22,$2.70,10.81
2017-03-31,27.96,$3.01,9.3
2016-12-31,31.39,$3.02,10.41
2016-09-30,23.83,$2.91,8.2
2016-06-30,22.34,$2.81,7.94
2016-03-31,21.22,$2.15,9.88
2015-12-31,21.26,$2.10,10.13
2015-09-30,22.11,$2.08,10.64
2015-06-30,23.74,$2.43,9.77
2015-03-31,22.58,$3.20,7.06
2014-12-31,23.95,$2.98,8.03
2014-09-30,20.91,$2.95,7.09
2014-06-30,21.07,$2.70,7.8
2014-03-31,21.45,$3.24,6.63
2013-12-31,21.42,$3.50,6.12
2013-09-30,19.77,$3.12,6.34
2013-06-30,17.45,$3.07,5.68
2013-03-31,15.69,$2.92,5.37
2012-12-31,14.45,$2.63,5.48
2012-09-30,13.35,$3.41,3.92
2012-06-30,13.59,$3.51,3.87
2012-03-31,12.76,$3.60,3.54
2011-12-31,12.23,$3.99,3.07
2011-09-30,10.79,$4.13,2.61
2011-06-30,12.15,$4.14,2.93
2011-03-31,12.69,$4.04,3.15
2010-12-31,11.54,$3.81,3.02
2010-09-30,9.87,$2.32,4.25
2010-06-30,10.08,$3.49,2.89
2010-03-31,9.65,$1.93,5.0
2009-12-31,7.26,$1.46,4.97
