Costco Price to Free Cash Flow Ratio Historical Data,Costco Price to Free Cash Flow Ratio Historical Data,Costco Price to Free Cash Flow Ratio Historical Data,Costco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,895.4,,57.52
2025-02-28,1048.61,$15.57,67.36
2024-11-30,971.88,$11.27,86.27
2024-08-31,891.2,$14.90,59.79
2024-05-31,807.67,$16.68,48.43
2024-02-29,740.67,$13.95,53.1
2023-11-30,576.35,$19.81,29.1
2023-08-31,533.12,$15.18,35.13
2023-05-31,495.55,$13.10,37.82
2023-02-28,468.06,$12.32,38.0
2022-11-30,520.4,$6.41,81.18
2022-08-31,502.94,$7.87,63.89
2022-05-31,448.36,$9.22,48.64
2022-02-28,498.56,$13.57,36.74
2021-11-30,517.1,$13.09,39.49
2021-08-31,435.97,$12.09,36.07
2021-05-31,361.39,$15.57,23.21
2021-02-28,315.56,$13.08,24.12
2020-11-30,363.39,$14.45,25.14
2020-08-31,321.86,$13.63,23.61
2020-05-31,284.96,$8.89,32.05
2020-02-29,259.12,$9.43,27.49
2019-11-30,275.75,$7.44,37.07
2019-08-31,270.51,$7.58,35.68
2019-05-31,219.39,$5.81,37.75
2019-02-28,199.77,$6.02,33.21
2018-11-30,210.65,$6.93,30.41
2018-08-31,211.83,$6.35,33.37
2018-05-31,179.68,$7.62,23.59
2018-02-28,172.53,$6.59,26.18
2017-11-30,166.25,$7.44,22.33
2017-08-31,140.87,$9.58,14.71
2017-05-31,161.66,$4.88,33.15
2017-02-28,152.12,$5.63,27.0
2016-11-30,128.53,$6.07,21.19
2016-08-31,138.37,$1.46,94.95
2016-05-31,126.66,$4.27,29.64
2016-02-29,127.35,$2.93,43.54
2015-11-30,136.65,$3.20,42.77
2015-08-31,118.26,$4.27,27.67
2015-05-31,120.07,$4.39,27.35
2015-02-28,123.41,$5.02,24.59
2014-11-30,115.2,$4.97,23.18
2014-08-31,97.89,$4.50,21.76
2014-05-31,93.52,$3.56,26.28
2014-02-28,93.86,$3.18,29.56
2013-11-30,100.52,$2.50,40.23
2013-08-31,89.43,$3.07,29.09
2013-05-31,87.41,$3.73,23.42
2013-02-28,80.54,$3.52,22.88
2012-11-30,76.94,$4.24,18.13
2012-08-31,72.25,$3.59,20.13
2012-05-31,63.59,$4.29,14.82
2012-02-29,63.14,$3.64,17.36
2011-11-30,62.4,$4.10,15.23
2011-08-31,57.3,$4.31,13.31
2011-05-31,59.99,$3.73,16.07
2011-02-28,54.23,$4.02,13.48
2010-11-30,48.89,$3.84,12.72
2010-08-31,40.73,$3.88,10.5
2010-05-31,41.84,$3.86,10.85
2010-02-28,43.64,$3.43,12.74
2009-11-30,42.75,$2.91,14.67
