TELUS Price to Free Cash Flow Ratio Historical Data,TELUS Price to Free Cash Flow Ratio Historical Data,TELUS Price to Free Cash Flow Ratio Historical Data,TELUS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.65,,14.15
2024-12-31,13.56,$1.04,13.1
2024-09-30,16.35,$1.12,14.58
2024-06-30,14.5,$1.04,13.92
2024-03-31,15.07,$0.86,17.47
2023-12-31,16.48,$0.68,24.39
2023-09-30,14.91,$0.54,27.42
2023-06-30,17.48,$0.51,34.5
2023-03-31,17.59,$0.46,37.92
2022-12-31,16.88,$0.65,26.09
2022-09-30,17.15,$0.78,22.03
2022-06-30,19.01,$0.87,21.86
2022-03-31,22.06,$1.02,21.62
2021-12-31,19.7,$1.06,18.54
2021-09-30,18.15,$0.95,19.12
2021-06-30,18.34,$0.82,22.43
2021-03-31,16.11,$0.95,16.93
2020-12-31,15.82,$1.07,14.74
2020-09-30,13.9,$0.87,15.96
2020-06-30,13.08,$0.96,13.64
2020-03-31,12.16,$0.86,14.15
2019-12-31,14.8,$0.62,23.86
2019-09-30,13.46,$0.83,16.14
2019-06-30,13.78,$0.73,18.96
2019-03-31,13.68,$0.71,19.25
2018-12-31,12.1,$0.79,15.32
2018-09-30,13.29,$0.73,18.32
2018-06-30,12.68,$0.78,16.25
2018-03-31,12.41,$0.71,17.44
2017-12-31,13.22,$0.58,22.74
2017-09-30,12.43,$0.39,31.69
2017-06-30,11.79,$0.35,33.28
2017-03-31,10.98,$0.30,37.02
2016-12-31,10.64,$0.30,35.56
2016-09-30,10.9,$-1.87,0.0
2016-06-30,10.53,$0.52,20.24
2016-03-31,10.52,$0.58,18.22
2015-12-31,8.84,$0.70,12.61
2015-09-30,9.98,$3.10,3.22
2015-06-30,10.79,$0.83,12.93
2015-03-31,10.31,$0.80,12.87
2014-12-31,11.07,$0.76,14.49
2014-09-30,10.4,$0.74,14.13
2014-06-30,11.22,$0.86,13.07
2014-03-31,10.73,$0.80,13.34
2013-12-31,10.19,$0.94,10.84
2013-09-30,9.7,$0.95,10.24
2013-06-30,8.47,$0.85,9.9
2013-03-31,9.92,$0.90,11.05
2012-12-31,9.27,$0.97,9.52
2012-09-30,8.81,$0.99,8.89
2012-06-30,8.16,$0.94,8.71
2012-03-31,7.85,$0.81,9.73
2011-12-31,7.32,$0.55,13.38
2011-09-30,6.25,$0.47,13.31
2011-06-30,7.03,$0.50,14.03
2011-03-31,6.42,$0.54,11.94
2010-12-31,5.7,$0.63,9.05
2010-09-30,5.48,$0.58,9.41
2010-06-30,4.62,$0.44,10.6
2010-03-31,4.52,$0.55,8.28
2009-12-31,3.87,$0.55,6.99
