Carisma Therapeutics Price to Free Cash Flow Ratio Historical Data,Carisma Therapeutics Price to Free Cash Flow Ratio Historical Data,Carisma Therapeutics Price to Free Cash Flow Ratio Historical Data,Carisma Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.42,,0.0
2024-09-30,0.98,$-2.07,0.0
2024-06-30,1.52,$-2.28,0.0
2024-03-31,2.27,$-1.00,0.0
2023-12-31,2.93,$-2.46,0.0
2023-09-30,4.23,$-9.72,0.0
2023-06-30,8.77,$-14.56,0.0
2023-03-31,3.1,$-22.91,0.0
2022-12-31,12.19,$-4.59,0.0
2022-09-30,8.5,$1.54,5.54
2022-06-30,16.21,$6.05,2.68
2022-03-31,12.05,$11.11,1.09
2021-12-31,16.3,$-7.56,0.0
2021-09-30,15.86,$-7.03,0.0
2021-06-30,92.4,$-6.71,0.0
2021-03-31,52.0,$-5.96,0.0
2020-12-31,27.0,$-5.22,0.0
2020-09-30,28.0,$-7.39,0.0
2020-06-30,14.4,$-7.39,0.0
2020-03-31,11.21,$-7.83,0.0
2019-12-31,20.8,$-8.28,0.0
2019-09-30,23.4,$-8.14,0.0
2019-06-30,30.0,$-8.00,0.0
2019-03-31,20.6,$-7.00,0.0
2018-12-31,28.4,$-7.39,0.0
2018-09-30,43.0,$-6.09,0.0
2018-06-30,39.0,$-9.26,0.0
2018-03-31,21.0,$-11.83,0.0
2017-12-31,16.22,$-13.54,0.0
2017-09-30,31.6,$-16.61,0.0
2017-06-30,31.4,$8.47,3.71
2017-03-31,44.0,$7.18,6.13
2016-12-31,38.2,$2.63,14.5
2016-09-30,56.0,$-2.51,0.0
2016-06-30,33.4,$-31.66,0.0
2016-03-31,6.38,$-35.90,0.0
2015-12-31,60.2,$-36.66,0.0
2015-09-30,48.2,$-38.80,0.0
2015-06-30,56.4,$-41.90,0.0
2015-03-31,178.4,$-39.13,0.0
2014-12-31,237.6,$-40.21,0.0
