Digimarc Price to Free Cash Flow Ratio Historical Data,Digimarc Price to Free Cash Flow Ratio Historical Data,Digimarc Price to Free Cash Flow Ratio Historical Data,Digimarc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.3,,0.0
2024-12-31,37.45,$-1.28,0.0
2024-09-30,26.88,$-1.33,0.0
2024-06-30,31.01,$-1.01,0.0
2024-03-31,27.18,$-1.09,0.0
2023-12-31,36.12,$-1.12,0.0
2023-09-30,32.49,$-1.32,0.0
2023-06-30,29.44,$-1.87,0.0
2023-03-31,19.65,$-2.13,0.0
2022-12-31,18.49,$-2.40,0.0
2022-09-30,13.55,$-2.42,0.0
2022-06-30,14.14,$-2.23,0.0
2022-03-31,26.37,$-2.00,0.0
2021-12-31,39.48,$-1.68,0.0
2021-09-30,34.44,$-1.53,0.0
2021-06-30,33.5,$-1.59,0.0
2021-03-31,29.66,$-1.56,0.0
2020-12-31,47.24,$-1.67,0.0
2020-09-30,22.33,$-1.82,0.0
2020-06-30,15.99,$-1.88,0.0
2020-03-31,13.05,$-1.99,0.0
2019-12-31,33.56,$-1.99,0.0
2019-09-30,39.09,$-2.00,0.0
2019-06-30,44.39,$-2.10,0.0
2019-03-31,31.38,$-2.19,0.0
2018-12-31,14.5,$-2.05,0.0
2018-09-30,31.45,$-2.02,0.0
2018-06-30,26.8,$-1.95,0.0
2018-03-31,23.95,$-1.93,0.0
2017-12-31,36.15,$-1.95,0.0
2017-09-30,36.6,$-2.11,0.0
2017-06-30,40.15,$-1.99,0.0
2017-03-31,27.0,$-1.84,0.0
2016-12-31,30.0,$-1.79,0.0
2016-09-30,38.35,$-1.61,0.0
2016-06-30,31.96,$-1.56,0.0
2016-03-31,30.3,$-1.49,0.0
2015-12-31,36.51,$-1.45,0.0
2015-09-30,30.55,$-1.22,0.0
2015-06-30,45.14,$-1.21,0.0
2015-03-31,21.95,$-1.34,0.0
2014-12-31,27.15,$-1.30,0.0
2014-09-30,20.71,$-1.32,0.0
2014-06-30,32.6,$-1.38,0.0
2014-03-31,31.29,$-0.58,0.0
2013-12-31,19.12,$0.11,179.57
2013-09-30,19.95,$0.52,38.74
2013-06-30,20.41,$1.07,19.02
2013-03-31,21.49,$1.01,21.29
2012-12-31,20.15,$1.98,10.16
2012-09-30,21.55,$2.10,10.28
2012-06-30,24.73,$2.10,11.8
2012-03-31,26.81,$2.12,12.64
2011-12-31,22.92,$1.19,19.22
2011-09-30,24.35,$1.37,17.76
2011-06-30,33.61,$1.18,28.58
2011-03-31,27.73,$0.93,29.67
2010-12-31,28.79,$1.15,25.12
2010-09-30,22.51,$0.76,29.61
2010-06-30,17.99,$0.72,25.01
2010-03-31,16.57,$0.55,29.93
2009-12-31,14.38,$-0.07,0.0
