Robert Half Price to Free Cash Flow Ratio Historical Data,Robert Half Price to Free Cash Flow Ratio Historical Data,Robert Half Price to Free Cash Flow Ratio Historical Data,Robert Half Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,53.84,,15.66
2024-12-31,70.46,$3.44,20.5
2024-09-30,66.94,$3.04,21.98
2024-06-30,63.01,$3.48,18.11
2024-03-31,77.47,$4.78,16.2
2023-12-31,85.34,$5.57,15.32
2023-09-30,70.71,$6.33,11.17
2023-06-30,72.12,$6.35,11.36
2023-03-31,76.7,$5.74,13.37
2022-12-31,69.87,$5.70,12.25
2022-09-30,71.99,$5.17,13.93
2022-06-30,70.09,$5.56,12.61
2022-03-31,106.33,$5.04,21.09
2021-12-31,103.48,$5.07,20.41
2021-09-30,92.79,$4.13,22.46
2021-06-30,81.98,$3.34,24.52
2021-03-31,71.63,$4.52,15.86
2020-12-31,57.06,$4.97,11.48
2020-09-30,48.1,$5.28,9.11
2020-06-30,47.71,$5.65,8.45
2020-03-31,33.85,$3.95,8.56
2019-12-31,56.29,$3.95,14.24
2019-09-30,49.35,$4.28,11.53
2019-06-30,50.26,$4.21,11.93
2019-03-31,57.13,$4.45,12.85
2018-12-31,49.93,$4.36,11.46
2018-09-30,61.14,$3.88,15.76
2018-06-30,56.35,$3.43,16.45
2018-03-31,49.89,$3.29,15.18
2017-12-31,47.63,$3.30,14.43
2017-09-30,42.98,$3.37,12.76
2017-06-30,40.7,$3.42,11.91
2017-03-31,41.25,$3.23,12.79
2016-12-31,41.0,$2.79,14.7
2016-09-30,31.67,$3.00,10.57
2016-06-30,31.74,$2.52,12.58
2016-03-31,38.52,$2.66,14.48
2015-12-31,38.77,$2.73,14.19
2015-09-30,41.91,$2.47,17.0
2015-06-30,45.3,$2.48,18.23
2015-03-31,49.22,$2.24,22.01
2014-12-31,47.33,$2.05,23.09
2014-09-30,39.6,$2.19,18.08
2014-06-30,38.44,$2.09,18.38
2014-03-31,33.64,$2.06,16.35
2013-12-31,33.53,$1.86,18.06
2013-09-30,31.03,$1.90,16.32
2013-06-30,26.31,$1.87,14.08
2013-03-31,29.58,$1.77,16.74
2012-12-31,24.96,$1.72,14.55
2012-09-30,20.78,$1.69,12.32
2012-06-30,22.17,$1.64,13.49
2012-03-31,23.39,$1.47,15.91
2011-12-31,21.86,$1.41,15.51
2011-09-30,16.21,$1.26,12.84
2011-06-30,20.52,$1.14,17.97
2011-03-31,23.11,$0.97,23.94
2010-12-31,23.0,$0.98,23.53
2010-09-30,19.45,$0.82,23.86
2010-06-30,17.52,$0.92,19.02
2010-03-31,22.52,$1.17,19.29
2009-12-31,19.69,$1.36,14.51
