Provident Financial Services Price to Free Cash Flow Ratio Historical Data,Provident Financial Services Price to Free Cash Flow Ratio Historical Data,Provident Financial Services Price to Free Cash Flow Ratio Historical Data,Provident Financial Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.97,,4.38
2024-12-31,18.87,$3.87,4.87
2024-09-30,18.35,$2.02,9.1
2024-06-30,14.0,$2.25,6.24
2024-03-31,14.0,$1.99,7.03
2023-12-31,17.05,$2.22,7.69
2023-09-30,14.22,$2.16,6.6
2023-06-30,15.0,$2.37,6.33
2023-03-31,17.33,$2.77,6.26
2022-12-31,19.1,$2.55,7.48
2022-09-30,17.25,$2.40,7.2
2022-06-30,19.5,$2.08,9.39
2022-03-31,20.28,$1.97,10.28
2021-12-31,20.78,$1.87,11.12
2021-09-30,19.95,$2.27,8.78
2021-06-30,19.25,$1.44,13.41
2021-03-31,18.57,$1.26,14.7
2020-12-31,14.8,$1.31,11.27
2020-09-30,9.89,$0.93,10.62
2020-06-30,11.53,$1.91,6.04
2020-03-31,10.06,$2.07,4.86
2019-12-31,19.08,$2.04,9.36
2019-09-30,18.82,$1.97,9.53
2019-06-30,18.6,$2.32,8.02
2019-03-31,19.68,$2.33,8.45
2018-12-31,18.06,$2.34,7.7
2018-09-30,18.21,$2.72,6.7
2018-06-30,20.26,$2.59,7.83
2018-03-31,18.69,$2.21,8.48
2017-12-31,19.55,$2.09,9.37
2017-09-30,19.08,$2.03,9.41
2017-06-30,18.01,$1.66,10.82
2017-03-31,18.2,$1.88,9.7
2016-12-31,19.78,$1.92,10.33
2016-09-30,14.73,$1.70,8.65
2016-06-30,13.51,$1.81,7.47
2016-03-31,13.76,$1.83,7.51
2015-12-31,13.61,$1.73,7.88
2015-09-30,13.06,$1.68,7.78
2015-06-30,12.62,$1.55,8.13
2015-03-31,12.28,$1.44,8.54
2014-12-31,11.79,$1.44,8.19
2014-09-30,10.6,$1.66,6.39
2014-06-30,11.11,$1.88,5.9
2014-03-31,11.69,$1.95,5.98
2013-12-31,12.18,$1.96,6.22
2013-09-30,10.14,$1.76,5.75
2013-06-30,9.79,$1.62,6.06
2013-03-31,9.39,$1.53,6.15
2012-12-31,9.09,$1.77,5.14
2012-09-30,9.4,$1.96,4.81
2012-06-30,9.06,$1.98,4.57
2012-03-31,8.5,$1.81,4.69
2011-12-31,7.77,$1.71,4.54
2011-09-30,6.18,$1.22,5.08
2011-06-30,8.15,$1.32,6.19
2011-03-31,8.35,$1.60,5.22
2010-12-31,8.48,$1.52,5.59
2010-09-30,6.87,$1.01,6.82
2010-06-30,6.44,$0.68,9.4
2010-03-31,6.5,$0.25,25.57
2009-12-31,5.75,$0.28,20.37
