Corsair Gaming Price to Free Cash Flow Ratio Historical Data,Corsair Gaming Price to Free Cash Flow Ratio Historical Data,Corsair Gaming Price to Free Cash Flow Ratio Historical Data,Corsair Gaming Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.94,,39.78
2024-12-31,6.61,$0.25,26.45
2024-09-30,6.96,$0.24,28.58
2024-06-30,11.04,$-0.10,0.0
2024-03-31,12.34,$0.08,164.31
2023-12-31,14.1,$0.72,19.62
2023-09-30,14.53,$0.36,40.45
2023-06-30,17.74,$0.78,22.78
2023-03-31,18.35,$0.89,20.59
2022-12-31,13.57,$0.42,32.6
2022-09-30,11.35,$0.18,62.29
2022-06-30,13.13,$-0.47,0.0
2022-03-31,21.16,$-0.27,0.0
2021-12-31,21.01,$0.09,227.87
2021-09-30,25.93,$0.88,29.38
2021-06-30,33.29,$2.31,14.41
