CareCloud Price to Free Cash Flow Ratio Historical Data,CareCloud Price to Free Cash Flow Ratio Historical Data,CareCloud Price to Free Cash Flow Ratio Historical Data,CareCloud Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.58,,1.93
2024-12-31,3.66,$0.82,4.47
2024-09-30,2.64,$0.73,3.63
2024-06-30,1.92,$0.46,4.15
2024-03-31,1.16,$0.51,2.26
2023-12-31,1.52,$0.25,6.19
2023-09-30,1.15,$0.38,3.04
2023-06-30,2.95,$0.54,5.46
2023-03-31,3.35,$0.47,7.11
2022-12-31,2.81,$0.62,4.52
2022-09-30,4.18,$0.59,7.09
2022-06-30,3.43,$0.54,6.34
2022-03-31,5.15,$0.30,17.21
2021-12-31,6.32,$0.19,33.18
2021-09-30,7.62,$0.05,154.25
2021-06-30,8.42,$-0.35,0.0
2021-03-31,8.31,$-0.28,0.0
2020-12-31,9.07,$-0.68,0.0
2020-09-30,8.87,$-0.60,0.0
2020-06-30,8.29,$-0.30,0.0
2020-03-31,5.5,$-0.11,0.0
2019-12-31,4.06,$0.42,9.7
2019-09-30,3.78,$0.44,8.68
2019-06-30,5.05,$0.56,9.06
2019-03-31,4.41,$0.49,9.07
2018-12-31,3.8,$0.49,7.7
2018-09-30,5.2,$0.46,11.3
2018-06-30,3.87,$0.19,19.93
2018-03-31,3.33,$0.11,29.89
2017-12-31,2.61,$-0.04,0.0
2017-09-30,1.47,$-0.21,0.0
2017-06-30,1.42,$-0.18,0.0
2017-03-31,0.68,$-0.19,0.0
2016-12-31,0.73,$-0.13,0.0
2016-09-30,0.94,$-0.09,0.0
2016-06-30,0.88,$-0.12,0.0
2016-03-31,1.02,$-0.14,0.0
2015-12-31,1.2,$-0.24,0.0
2015-09-30,1.81,$-0.46,0.0
2015-06-30,1.88,$-0.71,0.0
