Fortrea Holdings Price to Free Cash Flow Ratio Historical Data,Fortrea Holdings Price to Free Cash Flow Ratio Historical Data,Fortrea Holdings Price to Free Cash Flow Ratio Historical Data,Fortrea Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.77,,3.3
2024-12-31,18.65,$2.66,7.02
2024-09-30,20.0,$2.53,7.91
2024-06-30,23.34,$4.09,5.71
