Crown Holdings Price to Free Cash Flow Ratio Historical Data,Crown Holdings Price to Free Cash Flow Ratio Historical Data,Crown Holdings Price to Free Cash Flow Ratio Historical Data,Crown Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,90.16,,13.18
2024-12-31,82.69,$6.84,12.09
2024-09-30,95.61,$9.36,10.22
2024-06-30,73.97,$8.55,8.65
2024-03-31,78.57,$7.93,9.9
2023-12-31,90.99,$5.66,16.08
2023-09-30,87.17,$5.50,15.85
2023-06-30,85.35,$-0.69,0.0
2023-03-31,81.03,$-0.82,0.0
2022-12-31,80.31,$-0.17,0.0
2022-09-30,78.92,$-0.92,0.0
2022-06-30,89.57,$1.35,66.17
2022-03-31,121.29,$1.60,75.58
2021-12-31,107.06,$1.02,104.95
2021-09-30,97.36,$3.77,25.79
2021-06-30,98.54,$7.64,12.89
2021-03-31,93.38,$6.99,13.36
2020-12-31,96.23,$5.53,17.4
2020-09-30,73.81,$5.77,12.8
2020-06-30,62.55,$5.19,12.05
2020-03-31,55.74,$5.87,9.49
2019-12-31,69.67,$5.71,12.2
2019-09-30,63.44,$4.72,13.45
2019-06-30,58.68,$3.47,16.9
2019-03-31,52.41,$1.91,27.48
2018-12-31,39.92,$1.08,36.86
2018-09-30,46.1,$-5.23,0.0
2018-06-30,42.99,$-5.66,0.0
2018-03-31,48.74,$-6.87,0.0
2017-12-31,54.02,$-5.46,0.0
2017-09-30,57.35,$-9.32,0.0
2017-06-30,57.3,$-8.68,0.0
2017-03-31,50.85,$-5.91,0.0
2016-12-31,50.49,$-4.29,0.0
2016-09-30,54.83,$4.37,12.56
2016-06-30,48.66,$4.74,10.26
2016-03-31,47.62,$3.54,13.44
2015-12-31,48.69,$4.38,11.12
2015-09-30,43.94,$6.73,6.53
2015-06-30,50.81,$5.35,9.51
2015-03-31,51.88,$6.09,8.52
2014-12-31,48.88,$4.33,11.29
2014-09-30,42.76,$5.29,8.08
2014-06-30,47.79,$5.22,9.15
2014-03-31,42.97,$3.78,11.36
2013-12-31,42.8,$4.54,9.42
2013-09-30,40.6,$2.09,19.4
2013-06-30,39.5,$1.77,22.31
2013-03-31,39.96,$1.59,25.12
2012-12-31,35.35,$2.02,17.49
2012-09-30,35.29,$0.31,114.48
2012-06-30,33.12,$0.44,75.42
2012-03-31,35.37,$-0.32,0.0
2011-12-31,32.25,$0.03,1245.15
2011-09-30,29.4,$0.15,196.37
2011-06-30,37.28,$0.83,45.04
2011-03-31,37.05,$1.95,19.03
2010-12-31,32.06,$1.86,17.24
2010-09-30,27.52,$2.32,11.85
2010-06-30,24.05,$3.31,7.27
2010-03-31,25.89,$3.27,7.91
2009-12-31,24.57,$3.57,6.88
