22nd Century Price to Free Cash Flow Ratio Historical Data,22nd Century Price to Free Cash Flow Ratio Historical Data,22nd Century Price to Free Cash Flow Ratio Historical Data,22nd Century Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.85,,0.0
2024-12-31,5.31,$-10.41,0.0
2024-09-30,0.22,$-334.92,0.0
2024-06-30,0.75,$-266.85,0.0
2024-03-31,1.92,"$-3,297.36",0.0
2023-12-31,2.98,"$-6,270.20",0.0
2023-09-30,15.64,"$-9,854.74",0.0
2023-06-30,91.85,"$-11,644.12",0.0
2023-03-31,184.56,"$-10,685.75",0.0
2022-12-31,220.92,"$-9,243.68",0.0
2022-09-30,222.55,"$-6,598.36",0.0
2022-06-30,511.2,"$-5,973.89",0.0
2022-03-31,556.8,"$-5,619.24",0.0
2021-12-31,741.6,"$-4,894.14",0.0
2021-09-30,710.4,"$-4,425.02",0.0
2021-06-30,1111.2,"$-3,621.34",0.0
2021-03-31,789.6,"$-3,468.25",0.0
2020-12-31,528.0,"$-3,659.09",0.0
2020-09-30,153.79,"$-3,694.76",0.0
2020-06-30,183.46,"$-4,203.71",0.0
2020-03-31,180.0,"$-3,734.97",0.0
2019-12-31,264.0,"$-3,849.53",0.0
2019-09-30,542.4,"$-4,978.17",0.0
2019-06-30,501.6,"$-4,838.92",0.0
2019-03-31,410.4,"$-5,230.85",0.0
2018-12-31,597.6,"$-4,770.94",0.0
2018-09-30,674.4,"$-3,755.10",0.0
2018-06-30,590.4,"$-4,003.16",0.0
2018-03-31,564.0,"$-4,016.52",0.0
2017-12-31,672.0,"$-4,237.94",0.0
2017-09-30,664.8,"$-4,210.09",0.0
2017-06-30,420.0,"$-4,074.99",0.0
2017-03-31,283.2,"$-3,836.30",0.0
2016-12-31,261.6,"$-4,094.43",0.0
2016-09-30,348.0,"$-4,533.34",0.0
2016-06-30,194.9,"$-4,265.18",0.0
2016-03-31,187.92,"$-4,727.19",0.0
2015-12-31,336.0,"$-3,500.88",0.0
2015-09-30,201.6,"$-2,237.08",0.0
2015-06-30,225.6,"$-1,756.07",0.0
2015-03-31,206.4,$-0.13,0.0
2014-12-31,396.0,$-0.10,0.0
2014-09-30,604.8,$0.01,0.0
2014-06-30,736.8,$0.02,40707.18
2014-03-31,780.0,$0.03,24605.68
2013-12-31,513.6,$0.01,0.0
2013-09-30,309.6,$-0.07,0.0
2013-06-30,170.4,$-0.06,0.0
2013-03-31,211.2,$-0.08,0.0
2012-12-31,180.0,$-0.06,0.0
2012-09-30,67.2,$-0.08,0.0
2012-06-30,84.0,$-0.08,0.0
2012-03-31,148.8,$-0.07,0.0
2011-12-31,100.8,$-0.13,0.0
