Garmin Price to Free Cash Flow Ratio Historical Data,Garmin Price to Free Cash Flow Ratio Historical Data,Garmin Price to Free Cash Flow Ratio Historical Data,Garmin Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,208.71,,32.56
2024-12-31,206.26,$6.41,32.18
2024-09-30,175.42,$6.52,26.92
2024-06-30,161.65,$7.01,23.07
2024-03-31,147.02,$7.03,20.9
2023-12-31,126.32,$6.16,20.51
2023-09-30,102.78,$5.58,18.41
2023-06-30,101.2,$4.50,22.48
2023-03-31,97.26,$3.37,28.84
2022-12-31,88.28,$2.82,31.33
2022-09-30,76.24,$1.48,51.45
2022-06-30,92.51,$1.99,46.39
2022-03-31,110.81,$2.59,42.81
2021-12-31,126.43,$3.65,34.63
2021-09-30,143.63,$5.41,26.53
2021-06-30,133.11,$5.59,23.83
2021-03-31,120.77,$5.71,21.16
2020-12-31,109.08,$4.96,21.99
2020-09-30,86.03,$4.03,21.35
2020-06-30,87.88,$3.63,24.19
2020-03-31,67.12,$3.31,20.28
2019-12-31,86.72,$3.04,28.49
2019-09-30,74.84,$2.93,25.51
2019-06-30,70.05,$3.33,21.01
2019-03-31,75.26,$3.75,20.09
2018-12-31,54.84,$4.03,13.59
2018-09-30,60.19,$3.81,15.78
2018-06-30,52.01,$3.40,15.29
2018-03-31,49.81,$3.25,15.31
2017-12-31,49.93,$2.76,18.07
2017-09-30,44.85,$2.87,15.6
2017-06-30,42.0,$3.12,13.48
2017-03-31,41.66,$3.14,13.25
2016-12-31,39.14,$3.25,12.04
2016-09-30,38.43,$3.10,12.39
2016-06-30,33.52,$2.70,12.43
2016-03-31,31.2,$1.36,22.9
2015-12-31,28.65,$1.09,26.35
2015-09-30,27.26,$1.00,27.29
2015-06-30,32.91,$1.01,32.58
2015-03-31,35.2,$2.36,14.89
2014-12-31,38.75,$2.32,16.72
2014-09-30,37.8,$2.38,15.91
2014-06-30,43.88,$2.76,15.91
2014-03-31,39.49,$2.97,13.29
2013-12-31,32.73,$2.93,11.18
2013-09-30,31.72,$3.07,10.33
2013-06-30,25.12,$2.82,8.91
2013-03-31,22.65,$2.95,7.69
2012-12-31,27.57,$3.30,8.36
2012-09-30,27.94,$3.58,7.81
2012-06-30,25.35,$3.68,6.89
2012-03-31,30.74,$3.61,8.52
2011-12-31,25.83,$4.04,6.39
2011-09-30,20.4,$3.78,5.4
2011-06-30,20.96,$3.92,5.34
2011-03-31,20.97,$3.78,5.54
2010-12-31,19.19,$3.73,5.14
2010-09-30,18.79,$4.05,4.64
2010-06-30,18.07,$4.39,4.12
2010-03-31,22.97,$4.75,4.84
2009-12-31,18.26,$5.20,3.51
