Finance Of America Price to Free Cash Flow Ratio Historical Data,Finance Of America Price to Free Cash Flow Ratio Historical Data,Finance Of America Price to Free Cash Flow Ratio Historical Data,Finance Of America Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.95,,0.0
2024-12-31,28.12,$-18.11,0.0
2024-09-30,11.57,$-21.28,0.0
2024-06-30,4.93,$-32.20,0.0
2024-03-31,7.35,$-34.04,0.0
2023-12-31,11.0,$-8.73,0.0
2023-09-30,12.8,$17.15,0.75
2023-06-30,19.1,$47.84,0.4
2023-03-31,12.4,$69.48,0.18
2022-12-31,12.7,$74.79,0.17
2022-09-30,14.8,$48.75,0.3
2022-06-30,15.7,$28.97,0.54
2022-03-31,30.4,$10.85,2.8
2021-12-31,39.7,$-6.02,0.0
2021-09-30,49.5,$1.71,29.01
2021-06-30,76.3,$5.19,14.69
2021-03-31,95.5,$0.03,3511.03
2020-12-31,104.0,0,0.0
2020-09-30,101.8,$0.28,365.14
2020-06-30,102.0,$0.23,438.33
2020-03-31,98.9,$-0.03,0.0
