Iron Mountain Price to Free Cash Flow Ratio Historical Data,Iron Mountain Price to Free Cash Flow Ratio Historical Data,Iron Mountain Price to Free Cash Flow Ratio Historical Data,Iron Mountain Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,88.43,,0.0
2024-12-31,105.11,$-1.95,0.0
2024-09-30,118.07,$-1.10,0.0
2024-06-30,88.51,$-1.06,0.0
2024-03-31,78.64,$-1.07,0.0
2023-12-31,68.04,$-0.59,0.0
2023-09-30,57.26,$-0.38,0.0
2023-06-30,54.18,$-0.03,0.0
2023-03-31,49.9,$0.76,65.48
2022-12-31,46.47,$0.76,61.01
2022-09-30,40.53,$0.86,47.19
2022-06-30,44.38,$0.81,55.04
2022-03-31,49.85,$1.34,37.21
2021-12-31,46.48,$1.46,31.73
2021-09-30,38.1,$3.24,11.75
2021-06-30,36.61,$4.04,9.07
2021-03-31,31.59,$3.54,8.94
2020-12-31,24.75,$3.86,6.41
2020-09-30,22.03,$2.35,9.37
2020-06-30,21.01,$2.01,10.44
2020-03-31,18.74,$1.87,10.04
2019-12-31,24.57,$1.53,16.07
2019-09-30,24.5,$1.61,15.18
2019-06-30,23.24,$1.73,13.46
2019-03-31,25.83,$1.81,14.3
2018-12-31,23.2,$1.96,11.84
2018-09-30,24.28,$1.41,17.19
2018-06-30,24.23,$1.45,16.72
2018-03-31,22.35,$1.19,18.86
2017-12-31,25.22,$1.45,17.38
2017-09-30,25.6,$1.29,19.78
2017-06-30,22.3,$1.34,16.62
2017-03-31,22.79,$1.08,21.01
2016-12-31,20.42,$0.90,22.61
2016-09-30,23.21,$1.31,17.74
2016-06-30,24.32,$1.18,20.64
2016-03-31,20.44,$1.52,13.42
2015-12-31,16.02,$1.20,13.39
2015-09-30,18.09,$1.14,15.94
2015-06-30,17.77,$0.86,20.71
2015-03-31,20.61,$0.64,32.01
2014-12-31,21.56,$0.79,27.28
2014-09-30,18.21,$0.69,26.47
2014-06-30,19.77,$0.98,20.22
2014-03-31,15.37,$0.92,16.67
2013-12-31,16.93,$1.16,14.65
2013-09-30,14.94,$1.00,14.91
2013-06-30,14.57,$0.79,18.42
2013-03-31,19.68,$1.04,18.91
2012-12-31,16.71,$1.11,15.1
2012-09-30,16.24,$1.53,10.62
2012-06-30,15.57,$2.01,7.76
2012-03-31,13.5,$1.88,7.17
2011-12-31,14.31,$2.10,6.83
2011-09-30,14.57,$1.93,7.57
2011-06-30,15.59,$1.91,8.17
2011-03-31,14.17,$2.00,7.09
2010-12-31,11.28,$1.93,5.86
2010-09-30,10.0,$1.92,5.21
2010-06-30,10.03,$1.79,5.61
2010-03-31,12.2,$1.61,7.56
2009-12-31,10.11,$1.63,6.19
