SecureWorks Price to Free Cash Flow Ratio Historical Data,SecureWorks Price to Free Cash Flow Ratio Historical Data,SecureWorks Price to Free Cash Flow Ratio Historical Data,SecureWorks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-20,8.47,,0.0
2024-07-31,7.7,$-0.09,0.0
2024-04-30,6.09,$-0.43,0.0
2024-01-31,6.89,$-0.76,0.0
2023-10-31,5.88,$-0.77,0.0
2023-07-31,7.68,$-1.05,0.0
2023-04-30,9.07,$-0.94,0.0
2023-01-31,8.02,$-0.77,0.0
2022-10-31,8.18,$-0.58,0.0
2022-07-31,9.93,$-0.13,0.0
2022-04-30,11.04,$0.28,40.06
2022-01-31,14.75,$0.20,74.8
2021-10-31,18.42,$0.29,62.57
2021-07-31,20.06,$0.44,45.22
2021-04-30,13.01,$0.57,22.78
2021-01-31,13.84,$0.71,19.55
2020-10-31,10.4,$0.85,12.25
2020-07-31,11.96,$0.84,14.18
2020-04-30,11.38,$0.68,16.66
2020-01-31,15.73,$0.82,19.13
2019-10-31,12.16,$0.64,18.95
2019-07-31,11.94,$0.87,13.72
2019-04-30,19.42,$0.46,42.45
2019-01-31,22.92,$0.61,37.87
2018-10-31,16.49,$0.28,58.39
2018-04-30,10.92,$-0.13,0.0
2018-01-31,9.68,$-0.16,0.0
2017-10-31,10.02,$-0.59,0.0
2017-07-31,10.94,$-0.15,0.0
2017-04-30,8.65,$-0.26,0.0
2017-01-31,10.34,$-0.06,0.0
2018-07-31,12.82,$0.07,187.7
