Gilat Satellite Networks Price to Free Cash Flow Ratio Historical Data,Gilat Satellite Networks Price to Free Cash Flow Ratio Historical Data,Gilat Satellite Networks Price to Free Cash Flow Ratio Historical Data,Gilat Satellite Networks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.7,,19.9
2024-09-30,5.27,$0.34,15.66
2024-06-30,4.47,$0.35,12.82
2024-03-31,5.43,$0.42,13.04
2023-12-31,6.11,$0.41,14.82
2023-09-30,6.43,$0.58,11.13
2023-06-30,6.23,$0.33,18.69
2023-03-31,5.12,$0.26,19.61
2022-12-31,5.8,$0.04,162.01
2022-09-30,5.33,$-0.24,0.0
2022-06-30,6.04,$-0.18,0.0
2022-03-31,8.81,$0.03,315.77
2021-12-31,7.07,$0.18,39.99
2021-09-30,8.99,$1.29,6.97
2021-06-30,10.18,$1.08,9.38
2021-03-31,10.46,$0.84,12.49
2020-12-31,5.98,$0.78,7.7
2020-09-30,4.69,$-0.04,0.0
2020-06-30,5.48,$0.37,14.88
2020-03-31,6.1,$0.33,18.59
2019-12-31,6.78,$0.48,14.18
2019-09-30,7.21,$0.18,39.4
2019-06-30,7.28,$0.03,220.72
2019-03-31,7.23,$0.03,216.53
2018-12-31,7.48,$0.38,19.63
2018-09-30,6.99,$-0.03,0.0
2018-06-30,7.51,$-0.17,0.0
2018-03-31,7.21,$0.31,23.37
2017-12-31,6.32,$-0.38,0.0
2017-09-30,4.91,$0.12,41.72
2017-06-30,4.22,$0.20,21.25
2017-03-31,4.13,$-0.03,0.0
2016-12-31,4.09,$0.12,32.88
2016-09-30,3.98,$-0.00,0.0
2016-06-30,3.52,$-0.21,0.0
2016-03-31,3.82,$-0.39,0.0
2015-12-31,2.84,$-0.42,0.0
2015-09-30,2.88,$-0.24,0.0
2015-06-30,4.57,$-0.24,0.0
2015-03-31,4.94,$-0.66,0.0
2014-12-31,3.81,$-0.67,0.0
2014-09-30,4.0,$-0.43,0.0
2014-06-30,3.79,$-0.34,0.0
2014-03-31,4.04,$0.15,26.45
2013-12-31,3.82,$0.15,25.36
2013-09-30,4.01,$0.15,26.53
2013-06-30,4.53,$0.38,11.8
2013-03-31,4.66,$0.48,9.74
2012-12-31,4.34,$0.41,10.66
2012-09-30,3.25,$0.27,12.21
2012-06-30,2.55,$0.11,22.8
2012-03-31,3.3,$-0.15,0.0
2011-12-31,3.23,$-0.01,0.0
2011-09-30,2.62,$-0.24,0.0
2011-06-30,3.7,$-0.27,0.0
2011-03-31,4.33,$0.30,14.51
2010-12-31,4.09,$0.13,31.37
2010-09-30,4.7,$0.20,23.44
2010-06-30,3.76,$0.21,17.84
2010-03-31,4.64,$-0.21,0.0
2009-12-31,3.77,$-0.11,0.0
