E.W Scripps Price to Free Cash Flow Ratio Historical Data,E.W Scripps Price to Free Cash Flow Ratio Historical Data,E.W Scripps Price to Free Cash Flow Ratio Historical Data,E.W Scripps Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.02,,0.81
2024-12-31,2.21,$3.73,0.59
2024-09-30,2.25,$2.34,0.96
2024-06-30,3.14,$0.93,3.37
2024-03-31,3.93,$0.80,4.9
2023-12-31,7.99,$0.62,12.95
2023-09-30,5.48,$1.22,4.47
2023-06-30,9.15,$2.13,4.29
2023-03-31,9.41,$2.87,3.28
2022-12-31,13.19,$3.05,4.33
2022-09-30,11.27,$2.71,4.16
2022-06-30,12.47,$1.97,6.31
2022-03-31,20.79,$4.27,4.87
2021-12-31,19.35,$4.56,4.24
2021-09-30,18.06,$5.09,3.55
2021-06-30,20.39,$5.75,3.55
2021-03-31,19.27,$3.43,5.61
2020-12-31,15.29,$2.84,5.38
2020-09-30,11.4,$0.77,14.84
2020-06-30,8.68,$-0.26,0.0
2020-03-31,7.44,$-0.79,0.0
2019-12-31,15.42,$-1.09,0.0
2019-09-30,12.99,$0.35,37.59
2019-06-30,14.9,$0.93,16.0
2019-03-31,20.4,$0.89,22.85
2018-12-31,15.25,$1.15,13.31
2018-09-30,15.95,$0.46,34.91
2018-06-30,12.9,$-0.01,0.0
2018-03-31,11.51,$0.13,86.08
2017-12-31,14.95,$0.28,53.52
2017-09-30,18.28,$0.97,18.78
2017-06-30,17.03,$1.40,12.15
2017-03-31,22.42,$1.51,14.85
2016-12-31,18.49,$1.44,12.82
2016-09-30,15.21,$1.10,13.81
2016-06-30,15.15,$1.17,12.91
2016-03-31,14.91,$0.07,201.49
2015-12-31,18.17,$0.03,544.07
2015-09-30,16.9,$0.08,199.29
2015-06-30,21.85,$0.16,139.82
2015-03-31,27.2,$1.08,25.16
2014-12-31,21.38,$1.60,13.36
2014-09-30,15.6,$1.28,12.17
2014-06-30,20.24,$1.03,19.72
2014-03-31,16.95,$1.07,15.78
2013-12-31,20.77,$0.31,66.39
2013-09-30,17.55,$0.78,22.61
2013-06-30,14.9,$1.34,11.11
2013-03-31,11.51,$1.94,5.92
2012-12-31,10.34,$2.58,4.01
2012-09-30,10.19,$2.07,4.92
2012-06-30,9.19,$1.43,6.41
2012-03-31,9.44,$0.56,17.01
2011-12-31,7.66,$0.05,168.37
2011-09-30,6.69,$0.14,46.36
2011-06-30,9.25,$0.87,10.62
2011-03-31,9.47,$0.20,47.94
2010-12-31,9.71,$0.84,11.59
2010-09-30,7.54,$0.46,16.28
2010-06-30,7.11,$0.15,45.94
2010-03-31,8.08,$0.93,8.73
2009-12-31,6.66,$0.73,9.13
