Chubb Price to Free Cash Flow Ratio Historical Data,Chubb Price to Free Cash Flow Ratio Historical Data,Chubb Price to Free Cash Flow Ratio Historical Data,Chubb Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,294.12,,7.42
2024-12-31,276.3,$39.61,6.97
2024-09-30,287.44,$36.09,7.97
2024-06-30,253.44,$36.89,6.87
2024-03-31,256.57,$32.97,7.78
2023-12-31,223.02,$30.50,7.31
2023-09-30,204.64,$28.98,7.06
2023-06-30,188.52,$25.91,7.28
2023-03-31,189.25,$26.28,7.2
2022-12-31,214.08,$26.58,8.05
2022-09-30,175.82,$26.16,6.72
2022-06-30,189.21,$25.64,7.38
2022-03-31,204.98,$26.20,7.82
2021-12-31,184.55,$25.16,7.33
2021-09-30,164.94,$25.10,6.57
2021-06-30,150.46,$25.06,6.0
2021-03-31,148.79,$22.46,6.63
2020-12-31,144.31,$21.58,6.69
2020-09-30,108.32,$19.07,5.68
2020-06-30,117.33,$16.12,7.28
2020-03-31,102.88,$14.72,6.99
2019-12-31,142.3,$13.82,10.3
2019-09-30,146.87,$14.10,10.42
2019-06-30,133.36,$12.93,10.31
2019-03-31,126.2,$13.43,9.4
2018-12-31,115.76,$11.74,9.86
2018-09-30,119.06,$10.61,11.23
2018-06-30,112.57,$10.77,10.45
2018-03-31,120.51,$8.59,14.03
2017-12-31,128.1,$9.56,13.4
2017-09-30,124.36,$10.53,11.81
2017-06-30,126.2,$10.26,12.3
2017-03-31,117.7,$11.23,10.48
2016-12-31,113.56,$11.36,10.0
2016-09-30,107.43,$11.64,9.23
2016-06-30,111.15,$10.57,10.52
2016-03-31,100.76,$10.78,9.35
2015-12-31,98.27,$11.75,8.36
2015-09-30,86.47,$11.97,7.22
2015-06-30,84.47,$12.87,6.56
2015-03-31,92.03,$12.85,7.16
2014-12-31,94.27,$13.26,7.11
2014-09-30,85.56,$13.27,6.45
2014-06-30,83.56,$12.58,6.64
2014-03-31,79.83,$12.69,6.29
2013-12-31,82.89,$11.69,7.09
2013-09-30,74.58,$10.79,6.91
2013-06-30,70.24,$12.87,5.46
2013-03-31,69.49,$12.64,5.5
2012-12-31,61.99,$11.66,5.32
2012-09-30,58.37,$10.15,5.75
2012-06-30,56.48,$8.18,6.9
2012-03-31,55.78,$8.90,6.26
2011-12-31,52.74,$10.18,5.18
2011-09-30,45.58,$11.13,4.09
2011-06-30,49.22,$11.47,4.29
2011-03-31,48.12,$10.92,4.41
2010-12-31,46.06,$10.39,4.43
2010-09-30,42.87,$11.11,3.86
2010-06-30,37.44,$10.92,3.43
2010-03-31,38.03,$10.63,3.58
2009-12-31,36.44,$9.88,3.69
