Atrinsic Price to Free Cash Flow Ratio Historical Data,Atrinsic Price to Free Cash Flow Ratio Historical Data,Atrinsic Price to Free Cash Flow Ratio Historical Data,Atrinsic Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.26,,0.0
2024-09-30,0.63,$-1.03,0.0
2024-06-30,0.91,$-1.17,0.0
2024-03-31,1.75,$-1.18,0.0
2023-12-31,0.99,$-0.89,0.0
2023-09-30,1.84,$-0.65,0.0
2023-06-30,2.03,$-0.61,0.0
2023-03-31,1.73,$-0.45,0.0
2022-12-31,0.4,$-0.46,0.0
2022-09-30,0.57,$-0.60,0.0
2022-06-30,0.72,$-0.69,0.0
2022-03-31,0.82,$-0.63,0.0
2021-12-31,1.39,$-0.76,0.0
2021-09-30,1.87,$-0.70,0.0
2021-06-30,2.88,$-0.69,0.0
2021-03-31,6.25,$-0.75,0.0
