Red Violet Price to Free Cash Flow Ratio Historical Data,Red Violet Price to Free Cash Flow Ratio Historical Data,Red Violet Price to Free Cash Flow Ratio Historical Data,Red Violet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,38.59,,22.91
2024-12-31,36.2,$1.68,21.49
2024-09-30,28.45,$1.50,18.94
2024-06-30,25.4,$1.41,18.04
2024-03-31,19.55,$1.25,15.61
2023-12-31,19.97,$1.06,18.88
2023-09-30,20.01,$1.04,19.25
2023-06-30,20.57,$0.87,23.7
2023-03-31,17.6,$0.80,22.1
2022-12-31,23.02,$0.86,26.87
2022-09-30,17.32,$0.72,24.09
2022-06-30,19.04,$0.74,25.69
2022-03-31,28.5,$0.71,39.89
2021-12-31,39.69,$0.65,61.37
2021-09-30,25.81,$0.65,39.85
2021-06-30,23.52,$0.53,44.18
2021-03-31,18.42,$0.53,34.84
2020-12-31,26.11,$0.54,48.67
2020-09-30,18.46,$0.50,37.17
2020-06-30,17.64,$0.51,34.81
2020-03-31,18.0,$0.37,49.09
2019-12-31,18.51,$0.14,127.92
2019-09-30,12.61,$-0.09,0.0
2019-06-30,12.4,$-0.39,0.0
2019-03-31,6.72,$-0.63,0.0
2018-12-31,6.74,$-0.79,0.0
