Trivago ADS Price to Free Cash Flow Ratio Historical Data,Trivago ADS Price to Free Cash Flow Ratio Historical Data,Trivago ADS Price to Free Cash Flow Ratio Historical Data,Trivago ADS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.72,,87.41
2024-12-31,2.18,$0.05,40.37
2024-09-30,1.73,$-0.11,0.0
2024-06-30,2.01,$-0.05,0.0
2024-03-31,2.77,$0.01,0.0
2023-12-31,2.44,$0.08,31.98
2023-09-30,2.78,$0.67,4.16
2023-06-30,3.5,$0.97,3.6
2023-03-31,4.0,$0.79,5.07
2022-12-31,3.58,$0.92,3.9
2022-09-30,3.08,$1.39,2.22
2022-06-30,3.95,$0.89,4.42
2022-03-31,6.26,$0.89,7.02
2021-12-31,5.78,$0.47,12.43
2021-09-30,6.55,$-0.40,0.0
2021-06-30,8.78,$-0.37,0.0
2021-03-31,11.4,$0.07,153.02
2020-12-31,6.42,$0.05,131.74
2020-09-30,4.11,$0.30,13.76
2020-06-30,5.22,$0.25,21.03
2020-03-31,3.87,$0.20,19.13
2019-12-31,6.95,$1.04,6.68
2019-09-30,10.9,$0.94,11.63
2019-06-30,11.16,$1.90,5.89
2019-03-31,11.45,$0.65,17.62
2018-12-31,14.93,$-0.48,0.0
2018-09-30,16.33,$-0.65,0.0
2018-06-30,12.04,$-1.95,0.0
2018-03-31,18.43,$-1.00,0.0
2017-12-31,18.13,$-0.57,0.0
2017-09-30,28.77,$-0.66,0.0
