Indivior Price to Free Cash Flow Ratio Historical Data,Indivior Price to Free Cash Flow Ratio Historical Data,Indivior Price to Free Cash Flow Ratio Historical Data,Indivior Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.68,,184.03
2024-12-31,12.43,$0.05,236.31
2024-09-30,9.75,$-0.86,0.0
2024-06-30,16.12,$-0.78,0.0
2024-03-31,21.42,$-2.66,0.0
