Oxford Industries Price to Free Cash Flow Ratio Historical Data,Oxford Industries Price to Free Cash Flow Ratio Historical Data,Oxford Industries Price to Free Cash Flow Ratio Historical Data,Oxford Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,61.13,,14.71
2024-10-31,72.62,$4.16,17.47
2024-07-31,104.46,$7.43,14.06
2024-04-30,106.17,$9.79,10.84
2024-01-31,92.91,$10.83,8.58
2023-10-31,82.05,$8.91,9.21
2023-07-31,104.1,$8.20,12.69
2023-04-30,98.98,$6.43,15.4
2023-01-31,111.72,$4.86,23.01
2022-10-31,96.45,$6.23,15.48
2022-07-31,89.91,$7.20,12.48
2022-04-30,83.89,$9.36,8.96
2022-01-31,76.68,$10.71,7.16
2021-10-31,85.92,$11.09,7.75
2021-07-31,80.19,$10.55,7.6
2021-04-30,83.79,$8.74,9.59
2021-01-31,59.67,$3.31,18.01
2020-10-31,37.52,$2.19,17.15
2020-07-31,38.92,$2.60,14.95
2020-04-30,37.78,$2.57,14.69
2020-01-31,62.12,$5.00,12.43
2019-10-31,61.33,$4.38,14.01
2019-07-31,64.84,$4.47,14.51
2019-04-30,73.2,$3.86,18.96
2019-01-31,67.18,$3.52,19.07
2018-10-31,77.71,$4.44,17.49
2018-07-31,80.12,$2.99,26.78
2018-04-30,66.76,$3.28,20.38
2018-01-31,67.99,$4.77,14.25
2017-10-31,55.55,$5.68,9.77
2017-07-31,54.05,$5.12,10.56
2017-04-30,49.42,$4.99,9.9
2017-01-31,46.67,$4.15,11.24
2016-10-31,52.95,$6.00,8.82
2016-07-31,48.08,$6.54,7.35
2016-04-30,55.6,$5.41,10.27
2016-01-31,58.22,$5.53,10.52
2015-10-31,60.44,$2.81,21.49
2015-07-31,69.42,$2.18,31.89
2015-04-30,65.52,$1.97,33.32
2015-01-31,45.97,$2.74,16.81
2014-10-31,50.15,$1.76,28.46
2014-07-31,48.6,$1.61,30.22
2014-04-30,53.68,$2.03,26.4
2014-01-31,61.18,$0.57,107.71
2013-10-31,58.05,$0.23,257.54
2013-07-31,54.59,$1.03,53.1
2013-04-30,47.57,$0.05,1045.49
2013-01-31,39.6,$0.39,102.69
2012-10-31,44.36,$-0.06,0.0
2012-07-31,34.47,$0.04,811.17
2012-04-30,38.13,$-1.05,0.0
2012-01-31,40.33,$0.54,74.59
2011-10-31,31.19,$1.21,25.79
2011-07-31,30.83,$1.74,17.77
2011-04-30,26.93,$1.68,16.01
2011-01-31,18.48,$1.35,13.68
2010-10-31,17.91,$1.24,14.5
2010-07-31,17.34,$2.13,8.13
2010-04-30,16.63,$3.62,4.6
2010-01-31,13.67,$3.05,4.49
2009-10-31,14.77,$3.70,4.0
