AT&T Price to Free Cash Flow Ratio Historical Data,AT&T Price to Free Cash Flow Ratio Historical Data,AT&T Price to Free Cash Flow Ratio Historical Data,AT&T Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.79,,10.43
2024-12-31,22.77,$2.57,8.86
2024-09-30,21.72,$2.78,7.81
2024-06-30,18.59,$2.89,6.43
2024-03-31,16.84,$3.03,5.55
2023-12-31,15.8,$2.82,5.6
2023-09-30,13.88,$2.72,5.1
2023-06-30,14.48,$2.47,5.86
2023-03-31,17.23,$2.04,8.44
2022-12-31,16.24,$2.13,7.61
2022-09-30,13.29,$1.93,6.89
2022-06-30,17.92,$2.03,8.85
2022-03-31,15.17,$2.50,6.07
2021-12-31,15.49,$2.88,5.37
2021-09-30,16.69,$2.57,6.5
2021-06-30,17.46,$3.08,5.67
2021-03-31,18.05,$3.30,5.47
2020-12-31,16.85,$3.05,5.52
2020-09-30,16.4,$3.87,4.24
2020-06-30,17.09,$3.54,4.83
2020-03-31,16.2,$3.68,4.4
2019-12-31,21.43,$3.95,5.42
2019-09-30,20.47,$4.10,5.0
2019-06-30,17.85,$4.01,4.46
2019-03-31,16.45,$3.61,4.56
2018-12-31,14.72,$3.28,4.48
2018-09-30,17.06,$2.78,6.14
2018-06-30,16.06,$2.98,5.39
2018-03-31,17.59,$2.78,6.33
2017-12-31,18.93,$2.81,6.74
2017-09-30,18.83,$2.54,7.4
2017-06-30,17.9,$2.48,7.21
2017-03-31,19.48,$2.69,7.24
2016-12-31,19.7,$2.73,7.2
2016-09-30,18.59,$2.96,6.29
2016-06-30,19.56,$2.87,6.81
2016-03-31,17.51,$2.95,5.93
2015-12-31,15.17,$2.95,5.14
2015-09-30,14.16,$2.58,5.48
2015-06-30,15.23,$2.39,6.37
2015-03-31,13.8,$1.91,7.24
2014-12-31,14.0,$1.94,7.21
2014-09-30,14.5,$2.05,7.06
2014-06-30,14.37,$2.08,6.9
2014-03-31,14.06,$2.45,5.75
2013-12-31,13.91,$2.57,5.41
2013-09-30,13.2,$2.91,4.53
2013-06-30,13.65,$3.42,3.99
2013-03-31,13.98,$3.50,4.0
2012-12-31,12.68,$3.39,3.74
2012-09-30,14.01,$2.95,4.75
2012-06-30,13.09,$2.69,4.88
2012-03-31,11.31,$2.46,4.6
2011-12-31,10.79,$2.46,4.39
2011-09-30,10.02,$2.70,3.72
2011-06-30,10.89,$2.54,4.29
2011-03-31,10.46,$2.56,4.09
2010-12-31,9.9,$2.64,3.74
2010-09-30,9.49,$2.63,3.61
2010-06-30,7.89,$2.88,2.75
2010-03-31,8.3,$2.90,2.86
2009-12-31,8.86,$3.01,2.94
