Glen Burnie Bancorp Price to Free Cash Flow Ratio Historical Data,Glen Burnie Bancorp Price to Free Cash Flow Ratio Historical Data,Glen Burnie Bancorp Price to Free Cash Flow Ratio Historical Data,Glen Burnie Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.02,,12.36
2024-09-30,5.6,$0.41,13.79
2024-06-30,3.88,$0.27,14.26
2024-03-31,5.26,$0.40,13.21
2023-12-31,5.68,$0.43,13.08
2023-09-30,5.92,$0.67,8.85
2023-06-30,7.07,$0.76,9.35
2023-03-31,6.55,$0.85,7.7
2022-12-31,7.44,$0.69,10.8
2022-09-30,8.37,$0.52,16.23
2022-06-30,9.3,$0.84,11.14
2022-03-31,11.17,$1.02,10.98
2021-12-31,12.08,$1.18,10.22
2021-09-30,10.37,$1.13,9.17
2021-06-30,10.75,$0.47,22.97
2021-03-31,9.72,$0.58,16.7
2020-12-31,9.18,$0.36,25.29
2020-09-30,8.48,$0.43,19.86
2020-06-30,6.93,$0.95,7.29
2020-03-31,6.44,$0.74,8.72
2019-12-31,9.2,$0.94,9.77
2019-09-30,8.56,$0.68,12.59
2019-06-30,8.63,$1.12,7.73
2019-03-31,8.25,$1.09,7.58
2018-12-31,8.03,$1.44,5.56
2018-09-30,9.37,$1.79,5.25
2018-06-30,8.33,$1.35,6.17
2018-03-31,9.09,$1.34,6.78
2017-12-31,8.23,$1.24,6.63
2017-09-30,8.07,$1.08,7.49
2017-06-30,7.68,$1.07,7.17
2017-03-31,8.66,$1.13,7.67
2016-12-31,8.26,$0.87,9.48
2016-09-30,7.22,$0.95,7.64
2016-06-30,7.52,$0.99,7.57
2016-03-31,7.23,$0.81,8.89
2015-12-31,8.33,$0.74,11.27
2015-09-30,9.82,$0.66,14.95
2015-06-30,8.3,$0.57,14.67
2015-03-31,8.48,$0.64,13.23
2014-12-31,8.1,$0.75,10.75
2014-09-30,8.48,$0.78,10.89
2014-06-30,8.27,$1.18,7.0
2014-03-31,7.94,$1.42,5.59
2013-12-31,7.86,$1.40,5.6
2013-09-30,7.81,$1.50,5.22
2013-06-30,7.81,$1.25,6.23
2013-03-31,7.68,$1.27,6.06
2012-12-31,7.26,$1.43,5.07
2012-09-30,7.23,$1.40,5.17
2012-06-30,6.64,$1.49,4.45
2012-03-31,6.18,$1.33,4.64
2011-12-31,4.99,$1.48,3.37
2011-09-30,4.75,$1.55,3.06
2011-06-30,5.37,$2.42,2.22
2011-03-31,4.52,$1.88,2.4
2010-12-31,5.02,$1.71,2.93
2010-09-30,4.89,$0.89,5.53
2010-06-30,5.12,$-0.29,0.0
2010-03-31,5.93,$0.13,44.35
2009-12-31,5.12,$0.03,171.38
