Air T Price to Free Cash Flow Ratio Historical Data,Air T Price to Free Cash Flow Ratio Historical Data,Air T Price to Free Cash Flow Ratio Historical Data,Air T Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.12,,0.0
2024-12-31,19.95,$-0.85,0.0
2024-09-30,16.16,$-4.12,0.0
2024-06-30,21.33,$4.54,4.7
2024-03-31,22.2,$5.72,3.88
2023-12-31,16.9,$15.20,1.11
2023-09-30,22.35,$16.11,1.39
2023-06-30,25.1,$7.63,3.29
2023-03-31,25.05,$5.53,4.53
2022-12-31,24.72,$-6.45,0.0
2022-09-30,17.12,$-13.65,0.0
2022-06-30,16.46,$-14.55,0.0
2022-03-31,22.75,$-16.64,0.0
2021-12-31,25.15,$-8.90,0.0
2021-09-30,28.68,$-5.44,0.0
2021-06-30,24.71,$-1.59,0.0
2021-03-31,23.77,$0.12,190.77
2020-12-31,24.9,$-3.38,0.0
2020-09-30,9.74,$-8.59,0.0
2020-06-30,11.75,$-14.02,0.0
2020-03-31,12.51,$-11.82,0.0
2019-12-31,20.15,$-2.90,0.0
2019-09-30,18.78,$-2.59,0.0
2019-06-30,17.49,$-2.27,0.0
2019-03-31,13.42,$1.57,8.54
2018-12-31,10.89,$-14.58,0.0
2018-09-30,14.98,$-11.25,0.0
2018-06-30,14.82,$-4.49,0.0
2018-03-31,11.24,$-10.00,0.0
2017-12-31,10.97,$-1.40,0.0
2017-09-30,7.85,$1.27,6.19
2017-06-30,9.42,$-2.48,0.0
2017-03-31,8.96,$-3.10,0.0
2016-12-31,10.22,$-3.95,0.0
2016-09-30,9.08,$-2.92,0.0
2016-06-30,9.56,$0.45,21.45
2016-03-31,10.74,$0.60,17.8
2015-12-31,10.88,$0.80,13.61
2015-09-30,7.91,$1.75,4.51
2015-06-30,9.31,$1.70,5.49
2015-03-31,10.93,$2.63,4.15
2014-12-31,11.36,$2.02,5.63
2014-09-30,5.79,$0.63,9.26
2014-06-30,5.78,$-0.72,0.0
2014-03-31,5.38,$-0.50,0.0
2013-12-31,5.32,$-0.19,0.0
2013-09-30,5.0,$-0.56,0.0
2013-06-30,4.57,$1.04,4.39
2013-03-31,4.1,$1.08,3.78
2012-12-31,3.65,$0.91,4.03
2012-09-30,3.62,$0.57,6.38
2012-06-30,3.77,$-0.36,0.0
2012-03-31,4.0,$-0.07,0.0
2011-12-31,3.55,$0.28,12.6
2011-09-30,3.14,$-0.37,0.0
2011-06-30,3.82,$-0.86,0.0
2011-03-31,3.83,$-1.29,0.0
2010-12-31,3.97,$0.49,8.16
2010-09-30,3.64,$0.84,4.33
2010-06-30,4.26,$2.03,2.1
2010-03-31,4.53,$1.47,3.09
2009-12-31,3.76,$1.44,2.61
