Azitra Price to Free Cash Flow Ratio Historical Data,Azitra Price to Free Cash Flow Ratio Historical Data,Azitra Price to Free Cash Flow Ratio Historical Data,Azitra Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.33,,0.0
2024-12-31,0.43,$-2.79,0.0
2024-09-30,0.54,$-22.16,0.0
2024-06-30,0.09,$5.68,0.02
2024-03-31,0.21,$-38.03,0.0
