Sonida Senior Living Price to Free Cash Flow Ratio Historical Data,Sonida Senior Living Price to Free Cash Flow Ratio Historical Data,Sonida Senior Living Price to Free Cash Flow Ratio Historical Data,Sonida Senior Living Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.7,,0.0
2024-09-30,26.74,$-1.59,0.0
2024-06-30,27.5,$-1.10,0.0
2024-03-31,28.57,$-1.48,0.0
2023-12-31,9.66,$-0.87,0.0
2023-09-30,8.99,$-2.15,0.0
2023-06-30,8.72,$-2.63,0.0
2023-03-31,6.79,$-3.53,0.0
2022-12-31,12.5,$-4.26,0.0
2022-09-30,16.24,$-9.75,0.0
2022-06-30,21.0,$-17.44,0.0
2022-03-31,33.13,$-15.70,0.0
2021-12-31,28.49,$-14.15,0.0
2021-09-30,35.22,$-1.02,0.0
2021-06-30,49.5,$3.09,16.02
2021-03-31,38.5,$3.35,11.49
2020-12-31,12.34,$0.84,14.7
2020-09-30,9.42,$26.33,0.36
2020-06-30,10.65,$26.18,0.41
2020-03-31,8.7,$26.58,0.33
2019-12-31,46.35,$26.29,1.76
2019-09-30,65.7,$-1.97,0.0
2019-06-30,75.45,$4.29,17.6
2019-03-31,59.85,$5.88,10.17
2018-12-31,102.0,$7.53,13.55
2018-09-30,141.6,$6.29,22.51
2018-06-30,160.05,$3.49,45.8
2018-03-31,161.25,$4.60,35.09
2017-12-31,202.35,$7.97,25.39
2017-09-30,188.25,$6.51,28.92
2017-06-30,228.15,$3.74,60.94
2017-03-31,210.9,$-3.44,0.0
2016-12-31,240.75,$-5.20,0.0
2016-09-30,252.0,$-6.72,0.0
2016-06-30,265.05,$2.59,102.18
2016-03-31,277.8,$4.58,60.7
2015-12-31,312.9,$26.09,11.99
2015-09-30,300.75,$30.84,9.75
2015-06-30,367.5,$32.33,11.37
2015-03-31,389.1,$34.24,11.36
2014-12-31,373.65,$15.03,24.87
2014-09-30,318.45,$18.03,17.67
2014-06-30,357.6,$15.32,23.34
2014-03-31,389.85,$17.94,21.74
2013-12-31,359.85,$16.46,21.86
2013-09-30,317.25,$13.20,24.03
2013-06-30,358.5,$16.22,22.1
2013-03-31,396.45,$17.19,23.06
2012-12-31,280.35,$18.70,14.99
2012-09-30,217.05,$14.61,14.85
2012-06-30,159.0,$5.03,31.62
2012-03-31,138.6,$3.95,35.1
2011-12-31,119.1,$2.00,59.52
2011-09-30,92.55,$2.78,33.24
2011-06-30,139.35,$4.72,29.55
2011-03-31,159.3,$2.21,72.18
2010-12-31,100.5,$3.99,25.19
2010-09-30,79.95,$4.82,16.58
2010-06-30,74.55,$6.02,12.38
2010-03-31,78.9,$7.72,10.22
2009-12-31,75.3,$6.59,11.42
