BioLineRx Price to Free Cash Flow Ratio Historical Data,BioLineRx Price to Free Cash Flow Ratio Historical Data,BioLineRx Price to Free Cash Flow Ratio Historical Data,BioLineRx Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.42,,0.0
2024-09-30,0.54,$-13.93,0.0
2024-06-30,0.57,$-15.36,0.0
2024-03-31,1.12,$-16.73,0.0
2023-12-31,1.57,$-14.15,0.0
2023-09-30,1.82,$-21.62,0.0
2023-06-30,1.6,$-22.00,0.0
2023-03-31,0.89,$-20.97,0.0
2022-12-31,0.59,$-20.44,0.0
2022-09-30,0.93,$-22.83,0.0
2022-06-30,1.28,$-19.69,0.0
2022-03-31,1.71,$-19.42,0.0
2021-12-31,2.04,$-21.42,0.0
2021-09-30,2.75,$-34.40,0.0
2021-06-30,2.81,$-33.30,0.0
2021-03-31,2.79,$-38.86,0.0
2020-12-31,2.52,$-55.07,0.0
2020-09-30,1.64,$-59.48,0.0
2020-06-30,1.71,$-80.81,0.0
2020-03-31,1.33,$-95.08,0.0
2019-12-31,2.25,$-93.17,0.0
2019-09-30,2.64,$-97.14,0.0
2019-06-30,5.48,$-106.69,0.0
2019-03-31,6.45,$-116.86,0.0
2018-12-31,6.56,$-134.62,0.0
2018-09-30,16.05,$-161.98,0.0
2018-06-30,13.35,$-161.62,0.0
2018-03-31,13.05,$-138.70,0.0
2017-12-31,16.35,$-139.21,0.0
2017-09-30,16.8,$-127.37,0.0
2017-06-30,12.68,$-126.08,0.0
2017-03-31,14.41,$-147.61,0.0
2016-12-31,13.8,$-155.57,0.0
2016-09-30,17.25,$-158.67,0.0
2016-06-30,12.0,$-176.82,0.0
2016-03-31,15.3,$-189.89,0.0
2015-12-31,19.5,$-193.69,0.0
2015-09-30,22.95,$-223.28,0.0
2015-06-30,39.9,$-220.05,0.0
2015-03-31,31.65,$-214.53,0.0
2014-12-31,24.3,$-260.39,0.0
2014-09-30,23.1,$-326.26,0.0
2014-06-30,31.2,$-340.05,0.0
2014-03-31,33.45,$-439.59,0.0
2013-12-31,42.15,$-522.56,0.0
2013-09-30,32.85,"$-1,019.41",0.0
2013-06-30,24.3,$-790.11,0.0
2013-03-31,25.2,$-555.18,0.0
2012-12-31,37.95,$-508.52,0.0
2012-09-30,39.45,$-50.61,0.0
2012-06-30,36.6,$-636.93,0.0
