Booking Holdings Price to Free Cash Flow Ratio Historical Data,Booking Holdings Price to Free Cash Flow Ratio Historical Data,Booking Holdings Price to Free Cash Flow Ratio Historical Data,Booking Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4589.03,,19.8
2024-12-31,4968.42,$231.74,21.44
2024-09-30,4205.18,$245.96,17.1
2024-06-30,3945.72,$215.86,18.28
2024-03-31,3605.15,$192.02,18.78
2023-12-31,3516.15,$191.60,18.35
2023-09-30,3056.94,$211.10,14.48
2023-06-30,2676.68,$171.84,15.58
2023-03-31,2629.18,$189.44,13.88
2022-12-31,1997.63,$154.45,12.93
2022-09-30,1628.82,$107.32,15.18
2022-06-30,1733.67,$143.72,12.06
2022-03-31,2327.88,$106.22,21.91
2021-12-31,2378.22,$60.83,39.1
2021-09-30,2353.08,$40.96,57.45
2021-06-30,2168.93,$25.07,86.52
2021-03-31,2309.44,$-0.33,0.0
2020-12-31,2207.76,$-4.88,0.0
2020-09-30,1695.7,$32.19,52.68
2020-06-30,1578.39,$53.54,29.48
2020-03-31,1333.54,$91.31,14.61
2019-12-31,2035.74,$103.36,19.7
2019-09-30,1945.42,$102.21,19.03
2019-06-30,1858.29,$99.50,18.68
2019-03-31,1729.63,$92.48,18.7
2018-12-31,1707.33,$101.96,16.74
2018-09-30,1966.62,$54.40,36.15
2018-06-30,2009.34,$71.26,28.2
2018-03-31,2062.17,$78.18,26.38
2017-12-31,1722.52,$87.56,19.67
2017-09-30,1814.79,$135.57,13.39
2017-06-30,1854.14,$108.77,17.05
2017-03-31,1764.38,$89.09,19.8
2016-12-31,1453.22,$75.19,19.33
2016-09-30,1458.6,$72.17,20.21
2016-06-30,1237.48,$67.87,18.23
2016-03-31,1277.67,$61.15,20.9
2015-12-31,1263.78,$58.72,21.52
2015-09-30,1226.03,$54.44,22.52
2015-06-30,1141.29,$53.18,21.46
2015-03-31,1153.95,$53.10,21.73
2014-12-31,1130.22,$52.48,21.53
2014-09-30,1148.43,$49.41,23.24
2014-06-30,1192.46,$43.30,27.54
2014-03-31,1181.45,$41.80,28.26
2013-12-31,1152.22,$42.30,27.24
2013-09-30,1002.1,$41.19,24.33
2013-06-30,819.43,$36.49,22.46
2013-03-31,682.14,$33.71,20.24
2012-12-31,614.96,$33.72,18.24
2012-09-30,613.65,$29.58,20.74
2012-06-30,658.7,$27.30,24.13
2012-03-31,711.22,$23.33,30.48
2011-12-31,463.61,$25.29,18.33
2011-09-30,445.52,$23.40,19.04
2011-06-30,507.45,$18.68,27.17
2011-03-31,502.0,$18.08,27.77
2010-12-31,396.05,$14.80,26.76
2010-09-30,345.29,$14.40,23.98
2010-06-30,174.99,$12.23,14.31
2010-03-31,252.77,$10.44,24.22
2009-12-31,216.5,$9.99,21.68
