Knife River Price to Free Cash Flow Ratio Historical Data,Knife River Price to Free Cash Flow Ratio Historical Data,Knife River Price to Free Cash Flow Ratio Historical Data,Knife River Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,90.84,,31.9
2024-12-31,101.64,$2.85,35.69
2024-09-30,89.39,$3.15,28.4
2024-06-30,70.14,$2.94,23.86
2024-03-31,81.08,$2.37,34.2
