Bank Of Marin Bancorp Price to Free Cash Flow Ratio Historical Data,Bank Of Marin Bancorp Price to Free Cash Flow Ratio Historical Data,Bank Of Marin Bancorp Price to Free Cash Flow Ratio Historical Data,Bank Of Marin Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.46,,12.93
2024-12-31,23.77,$1.74,13.68
2024-09-30,19.89,$1.13,17.64
2024-06-30,15.81,$1.35,11.67
2024-03-31,16.12,$1.62,9.93
2023-12-31,20.87,$2.12,9.86
2023-09-30,17.09,$3.00,5.71
2023-06-30,16.33,$3.34,4.89
2023-03-31,19.87,$3.36,5.92
2022-12-31,29.6,$3.32,8.92
2022-09-30,26.78,$3.36,7.98
2022-06-30,28.19,$2.83,9.97
2022-03-31,30.88,$2.86,10.78
2021-12-31,32.57,$3.07,10.63
2021-09-30,32.82,$2.78,11.79
2021-06-30,27.54,$2.21,12.47
2021-03-31,33.59,$3.15,10.65
2020-12-31,29.28,$2.93,10.0
2020-09-30,24.51,$2.93,8.36
2020-06-30,28.0,$3.89,7.21
2020-03-31,25.03,$2.86,8.74
2019-12-31,37.39,$2.93,12.77
2019-09-30,34.27,$3.00,11.41
2019-06-30,33.71,$2.84,11.87
2019-03-31,33.29,$3.05,10.92
2018-12-31,33.59,$2.94,11.44
2018-09-30,34.03,$2.65,12.85
2018-06-30,32.67,$2.41,13.54
2018-03-31,27.75,$2.13,13.01
2017-12-31,27.25,$2.03,13.4
2017-09-30,27.34,$1.95,14.04
2017-06-30,24.46,$2.08,11.76
2017-03-31,25.46,$1.92,13.28
2016-12-31,27.49,$2.00,13.77
2016-09-30,19.49,$2.13,9.14
2016-06-30,18.86,$2.00,9.45
2016-03-31,19.1,$2.00,9.54
2015-12-31,20.62,$1.84,11.23
2015-09-30,18.45,$1.63,11.33
2015-06-30,19.46,$1.60,12.18
2015-03-31,19.39,$1.68,11.56
2014-12-31,19.95,$1.38,14.5
2014-09-30,17.33,$1.61,10.73
2014-06-30,17.14,$1.66,10.34
2014-03-31,16.87,$1.63,10.37
2013-12-31,16.17,$1.82,8.88
2013-09-30,15.42,$1.82,8.46
2013-06-30,14.78,$1.75,8.47
2013-03-31,14.75,$1.58,9.34
2012-12-31,13.72,$1.80,7.63
2012-09-30,15.49,$1.78,8.71
2012-06-30,13.42,$1.71,7.84
2012-03-31,13.72,$1.90,7.22
2011-12-31,13.51,$1.85,7.31
2011-09-30,11.82,$1.92,6.16
2011-06-30,12.6,$1.84,6.83
2011-03-31,13.23,$1.97,6.7
2010-12-31,12.35,$2.03,6.08
2010-09-30,11.33,$1.38,8.18
2010-06-30,11.17,$1.43,7.82
2010-03-31,11.52,$1.19,9.71
2009-12-31,11.28,$1.20,9.4
