Ensysce Biosciences Price to Free Cash Flow Ratio Historical Data,Ensysce Biosciences Price to Free Cash Flow Ratio Historical Data,Ensysce Biosciences Price to Free Cash Flow Ratio Historical Data,Ensysce Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.56,,0.0
2024-12-31,8.14,$-10.75,0.0
2024-09-30,3.6,$-37.99,0.0
2024-06-30,7.6,$-36.84,0.0
2024-03-31,11.85,$-29.06,0.0
2023-12-31,15.9,$-71.39,0.0
2023-09-30,20.7,$-174.69,0.0
2023-06-30,27.0,$-702.43,0.0
2023-03-31,72.9,"$-1,089.17",0.0
2022-12-31,135.0,"$-1,489.88",0.0
2022-09-30,774.0,"$-2,166.58",0.0
2022-06-30,3126.24,"$-2,157.76",0.0
2022-03-31,4104.0,"$-1,806.12",0.0
2021-12-31,16920.0,"$-1,471.67",0.0
2021-09-30,10908.0,$-782.68,0.0
2021-06-30,51444.0,$-289.66,0.0
2021-03-31,47087.64,$-389.53,0.0
2020-12-31,44764.92,$-272.00,0.0
2020-09-30,38520.0,$-153.29,0.0
2020-06-30,42156.36,$-128.08,0.0
2020-03-31,39276.0,$-0.22,0.0
2019-12-31,37512.0,$-0.23,0.0
2019-09-30,36864.0,$-0.24,0.0
2019-06-30,36612.0,$-0.22,0.0
2019-03-31,36131.04,$-0.22,0.0
2018-12-31,35352.0,$-0.21,0.0
