EDAP TMS S.A Price to Free Cash Flow Ratio Historical Data,EDAP TMS S.A Price to Free Cash Flow Ratio Historical Data,EDAP TMS S.A Price to Free Cash Flow Ratio Historical Data,EDAP TMS S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.28,,0.0
2024-09-30,2.55,$-0.65,0.0
2024-06-30,5.44,$-0.55,0.0
2024-03-31,7.35,$-0.56,0.0
2023-12-31,5.28,$-0.54,0.0
2023-09-30,7.02,$-0.62,0.0
2023-06-30,9.22,$-0.49,0.0
2023-03-31,11.07,$-0.30,0.0
2022-12-31,10.66,$-0.16,0.0
2022-09-30,8.25,$0.13,61.71
2022-06-30,6.8,$0.10,65.57
2022-03-31,7.25,$0.07,101.12
2021-12-31,5.99,$0.11,56.78
2021-09-30,6.38,$0.17,37.8
2021-06-30,7.09,$0.01,0.0
2021-03-31,8.4,$0.05,164.71
2020-12-31,5.17,$0.00,0.0
2020-09-30,4.6,$-0.05,0.0
2020-06-30,2.47,$0.09,27.43
2020-03-31,2.27,$0.09,25.17
2019-12-31,4.43,$0.04,113.59
2019-09-30,4.49,$0.03,162.68
2019-03-31,3.0,$-0.05,0.0
2018-12-31,1.85,$-0.05,0.0
2018-09-30,3.08,$-0.18,0.0
2018-06-30,3.03,$-0.12,0.0
2018-03-31,2.32,$-0.18,0.0
2017-12-31,2.87,$-0.18,0.0
2017-09-30,2.98,$-0.00,0.0
2017-06-30,3.3,$-0.16,0.0
2017-03-31,2.77,$-0.00,0.0
2016-12-31,3.28,$-0.00,0.0
2016-09-30,2.9,$0.03,102.47
2016-06-30,3.31,$0.09,35.86
2016-03-31,4.02,$0.03,142.05
2015-12-31,4.13,$0.03,145.94
2015-09-30,5.59,$-0.10,0.0
2015-06-30,3.25,$-0.12,0.0
2015-03-31,3.63,$-0.10,0.0
2014-12-31,2.33,$-0.10,0.0
2014-09-30,1.31,$-0.16,0.0
2014-06-30,4.98,$-0.01,0.0
2014-03-31,2.86,$-0.16,0.0
2013-12-31,2.95,$-0.16,0.0
2013-09-30,2.53,$-0.03,0.0
2013-06-30,2.72,$-0.20,0.0
2013-03-31,4.17,$-0.03,0.0
2012-12-31,2.04,$-0.03,0.0
2012-09-30,1.71,$-0.09,0.0
2012-06-30,1.94,$0.24,7.92
2012-03-31,1.9,$-0.09,0.0
2011-12-31,1.69,$-0.09,0.0
2011-09-30,1.75,$-0.42,0.0
2011-06-30,3.28,$-0.57,0.0
2011-03-31,3.49,$-0.42,0.0
2010-12-31,5.64,$-0.42,0.0
2010-09-30,2.41,$-0.53,0.0
2010-06-30,2.33,$-0.46,0.0
2010-03-31,3.16,$-0.53,0.0
2009-12-31,2.75,$-0.53,0.0
