Magyar Bancorp Price to Free Cash Flow Ratio Historical Data,Magyar Bancorp Price to Free Cash Flow Ratio Historical Data,Magyar Bancorp Price to Free Cash Flow Ratio Historical Data,Magyar Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.4,,12.16
2024-12-31,14.6,$1.18,12.33
2024-09-30,12.32,$1.16,10.65
2024-06-30,11.24,$1.58,7.13
2024-03-31,11.12,$1.32,8.44
2023-12-31,11.23,$1.68,6.7
2023-09-30,10.25,$1.28,8.04
2023-06-30,10.34,$1.34,7.73
2023-03-31,10.6,$1.91,5.55
2022-12-31,12.82,$1.53,8.37
2022-09-30,12.43,$1.66,7.49
2022-06-30,11.82,$1.93,6.12
2022-03-31,11.74,$1.48,7.92
2021-12-31,12.18,$1.92,6.34
2021-09-30,11.25,$1.86,6.04
2021-06-30,13.56,$1.55,8.77
2021-03-31,13.51,$1.72,7.87
2020-12-31,9.47,$1.25,7.59
2020-09-30,8.2,$0.84,9.75
2020-06-30,8.79,$0.67,13.04
2020-03-31,8.84,$0.71,12.54
2019-12-31,12.09,$0.89,13.51
2019-09-30,11.53,$1.23,9.38
2019-06-30,11.89,$0.99,12.06
2019-03-31,11.06,$1.13,9.77
2018-12-31,12.04,$1.02,11.76
2018-09-30,11.95,$1.22,9.81
2018-06-30,12.66,$1.37,9.27
2018-03-31,12.53,$1.23,10.21
2017-12-31,12.58,$1.42,8.84
2017-09-30,12.04,$0.90,13.35
2017-06-30,12.89,$0.68,18.91
2017-03-31,12.77,$1.65,7.72
2016-12-31,11.79,$1.60,7.38
2016-09-30,9.91,$2.26,4.38
2016-06-30,9.73,$3.26,2.98
2016-03-31,9.71,$2.39,4.06
2015-12-31,9.84,$2.55,3.86
2015-09-30,9.63,$3.24,2.97
2015-06-30,9.48,$2.68,3.54
2015-03-31,8.27,$2.88,2.88
2014-12-31,8.29,$2.92,2.84
2014-09-30,8.35,$1.54,5.42
2014-06-30,7.89,$1.76,4.48
2014-03-31,8.06,$1.61,5.01
2013-12-31,7.33,$1.67,4.39
2013-09-30,7.29,$2.35,3.1
2013-06-30,5.9,$3.27,1.8
2013-03-31,5.16,$2.93,1.76
2012-12-31,4.13,$2.99,1.38
2012-09-30,4.61,$3.61,1.28
2012-06-30,3.93,$5.04,0.78
2012-03-31,5.06,$5.35,0.95
2011-12-31,2.42,$4.63,0.52
2011-09-30,3.41,$5.19,0.66
2011-06-30,4.07,$2.80,1.45
2011-03-31,4.23,$2.85,1.48
2010-12-31,3.93,$3.33,1.18
2010-09-30,3.49,$1.29,2.7
2010-06-30,3.68,$1.04,3.55
2010-03-31,3.94,$0.91,4.35
2009-12-31,3.93,$1.22,3.21
