"CONCRETE PUMPING HOLDINGS, INC Price to Free Cash Flow Ratio Historical Data","CONCRETE PUMPING HOLDINGS, INC Price to Free Cash Flow Ratio Historical Data","CONCRETE PUMPING HOLDINGS, INC Price to Free Cash Flow Ratio Historical Data","CONCRETE PUMPING HOLDINGS, INC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.79,,5.91
2025-01-31,8.46,$0.98,8.64
2024-10-31,5.55,$1.01,5.5
2024-07-31,6.67,$1.05,6.33
2024-04-30,6.65,$1.08,6.15
2024-01-31,7.72,$1.00,7.7
2023-10-31,7.03,$0.99,7.12
2023-07-31,8.07,$0.66,12.14
2023-04-30,6.95,$0.36,19.16
2023-01-31,8.14,$0.15,53.91
2022-10-31,6.41,$-0.28,0.0
2022-07-31,6.53,$-0.56,0.0
2022-04-30,5.58,$-0.69,0.0
2022-01-31,8.21,$-0.09,0.0
2021-10-31,8.6,$0.37,22.95
2021-07-31,8.7,$0.94,9.22
2021-04-30,8.13,$1.11,7.3
2021-01-31,5.46,$1.18,4.64
2020-10-31,3.23,$0.82,3.95
2020-07-31,3.74,$0.75,5.01
2020-04-30,2.84,$0.78,3.63
2020-01-31,5.1,$0.12,42.64
2019-10-31,3.44,$-0.05,0.0
2019-07-31,4.05,$-0.58,0.0
