Dolphin Digital Media Price to Free Cash Flow Ratio Historical Data,Dolphin Digital Media Price to Free Cash Flow Ratio Historical Data,Dolphin Digital Media Price to Free Cash Flow Ratio Historical Data,Dolphin Digital Media Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.03,,0.0
2024-09-30,1.26,$-0.04,0.0
2024-06-30,1.88,$-0.11,0.0
2024-03-31,2.92,$-0.53,0.0
2023-12-31,3.42,$-0.64,0.0
2023-09-30,3.6,$-0.77,0.0
2023-06-30,3.44,$-0.93,0.0
2023-03-31,3.62,$-1.23,0.0
2022-12-31,3.62,$-0.83,0.0
2022-09-30,5.3,$-1.24,0.0
2022-06-30,6.32,$-0.72,0.0
2022-03-31,10.42,$-0.15,0.0
2021-12-31,17.04,$-0.35,0.0
2021-09-30,24.32,$-0.18,0.0
2021-06-30,18.68,$-0.79,0.0
2021-03-31,25.42,$-0.38,0.0
2020-12-31,6.8,$-0.50,0.0
2020-09-30,6.9,$-0.47,0.0
2020-06-30,8.7,$-0.42,0.0
2020-03-31,5.36,$-1.31,0.0
2019-12-31,7.0,$-1.40,0.0
2019-09-30,8.4,$-1.25,0.0
2019-06-30,10.5,$-1.08,0.0
2019-03-31,16.5,$-0.65,0.0
2018-12-31,7.7,$-0.44,0.0
2018-09-30,22.1,$7.18,3.08
