Worthington Enterprises Price to Free Cash Flow Ratio Historical Data,Worthington Enterprises Price to Free Cash Flow Ratio Historical Data,Worthington Enterprises Price to Free Cash Flow Ratio Historical Data,Worthington Enterprises Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,41.29,,13.32
2024-11-30,40.74,$3.10,13.14
2024-08-31,45.43,$4.44,10.23
2024-05-31,56.4,$4.19,13.45
2024-02-29,61.27,$7.65,8.01
2023-11-30,70.72,$10.08,7.01
2023-08-31,73.55,$10.71,6.87
2023-05-31,54.57,$11.54,4.73
2023-02-28,58.44,$10.22,5.72
2022-11-30,54.54,$8.05,6.78
2022-08-31,48.71,$2.68,18.2
2022-05-31,44.26,$0.30,146.11
2022-02-28,53.85,$-1.72,0.0
2021-11-30,45.06,$-2.93,0.0
2021-08-31,54.14,$1.95,27.74
2021-05-31,61.74,$4.42,13.98
2021-02-28,59.22,$4.59,12.91
2020-11-30,47.71,$5.95,8.02
2020-08-31,38.06,$5.10,7.47
2020-05-31,27.22,$4.49,6.07
2020-02-29,28.63,$4.25,6.74
2019-11-30,34.28,$4.12,8.31
2019-08-31,30.87,$3.19,9.69
2019-05-31,30.18,$2.77,10.89
2019-02-28,34.53,$2.94,11.73
2018-11-30,36.16,$3.29,11.01
2018-08-31,40.46,$3.09,13.09
2018-05-31,41.47,$3.59,11.54
2018-02-28,38.08,$3.70,10.29
2017-11-30,35.63,$3.54,10.06
2017-08-31,42.61,$3.59,11.86
2017-05-31,35.64,$4.20,8.48
2017-02-28,41.49,$4.57,9.09
2016-11-30,47.43,$4.78,9.92
2016-08-31,35.97,$5.15,6.99
2016-05-31,31.18,$5.04,6.19
2016-02-29,25.82,$4.48,5.77
2015-11-30,25.36,$3.93,6.45
2015-08-31,20.92,$3.00,6.97
2015-05-31,22.11,$1.93,11.46
2015-02-28,21.78,$0.95,23.01
2014-11-30,30.27,$1.10,27.6
2014-08-31,32.32,$1.80,18.01
2014-05-31,32.09,$2.58,12.42
2014-02-28,31.62,$3.67,8.62
2013-11-30,33.14,$2.93,11.29
2013-08-31,26.23,$3.80,6.91
2013-05-31,27.06,$3.44,7.86
2013-02-28,22.3,$3.06,7.28
2012-11-30,18.25,$3.95,4.62
2012-08-31,16.1,$3.65,4.41
2012-05-31,12.42,$2.55,4.88
2012-02-29,12.81,$2.27,5.64
2011-11-30,13.26,$1.86,7.14
2011-08-31,12.15,$1.65,7.34
2011-05-31,16.24,$0.93,17.37
2011-02-28,14.32,$0.41,34.65
2010-11-30,11.78,$-0.64,0.0
2010-08-31,10.39,$-0.90,0.0
2010-05-31,10.68,$1.16,9.18
2010-02-28,11.43,$1.84,6.22
2009-11-30,8.38,$4.11,2.04
