Spire Global Price to Free Cash Flow Ratio Historical Data,Spire Global Price to Free Cash Flow Ratio Historical Data,Spire Global Price to Free Cash Flow Ratio Historical Data,Spire Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.88,,0.0
2024-09-30,9.99,$-1.10,0.0
2024-06-30,10.84,$-1.89,0.0
2024-03-31,12.0,$-2.59,0.0
2023-12-31,7.82,$-2.74,0.0
2023-09-30,4.89,$-2.94,0.0
2023-06-30,0.52,$-3.15,0.0
2023-03-31,0.67,$-3.59,0.0
2022-12-31,0.96,$-3.82,0.0
2022-09-30,1.08,$-6.95,0.0
2022-06-30,1.16,$-1.84,0.0
2022-03-31,2.1,$-5.06,0.0
2021-12-31,3.38,$-9.45,0.0
2021-09-30,12.53,$-5.86,0.0
