Matson Price to Free Cash Flow Ratio Historical Data,Matson Price to Free Cash Flow Ratio Historical Data,Matson Price to Free Cash Flow Ratio Historical Data,Matson Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,129.77,,9.57
2024-12-31,134.84,$13.56,9.95
2024-09-30,142.32,$13.59,10.47
2024-06-30,130.35,$10.51,12.4
2024-03-31,111.55,$5.22,21.38
2023-12-31,108.47,$7.38,14.71
2023-09-30,87.5,$7.74,11.31
2023-06-30,76.4,$15.17,5.03
2023-03-31,58.37,$23.23,2.51
2022-12-31,60.88,$27.07,2.25
2022-09-30,59.63,$32.82,1.82
2022-06-30,70.38,$27.38,2.57
2022-03-31,116.07,$18.86,6.16
2021-12-31,86.35,$15.29,5.65
2021-09-30,77.16,$9.59,8.05
2021-06-30,60.92,$6.55,9.3
2021-03-31,63.27,$6.66,9.49
2020-12-31,53.86,$5.81,9.27
2020-09-30,37.75,$2.41,15.69
2020-06-30,27.24,$0.14,199.68
2020-03-31,28.43,$-0.24,0.0
2019-12-31,37.66,$-1.34,0.0
2019-09-30,34.43,$1.98,17.41
2019-06-30,35.47,$3.34,10.63
2019-03-31,32.95,$1.87,17.64
2018-12-31,29.05,$0.93,31.15
2018-09-30,35.77,$-1.08,0.0
2018-06-30,34.44,$-2.89,0.0
2018-03-31,25.54,$-2.37,0.0
2017-12-31,26.46,$-1.91,0.0
2017-09-30,24.81,$-1.64,0.0
2017-06-30,26.27,$-1.24,0.0
2017-03-31,27.61,$-0.67,0.0
2016-12-31,30.6,$-0.44,0.0
2016-09-30,34.3,$0.74,46.45
2016-06-30,27.63,$2.40,11.51
2016-03-31,34.19,$2.94,11.64
2015-12-31,36.12,$4.16,8.68
2015-09-30,32.48,$4.61,7.04
2015-06-30,35.32,$4.69,7.54
2015-03-31,35.28,$3.68,9.58
2014-12-31,28.75,$3.29,8.75
2014-09-30,20.72,$2.72,7.63
2014-06-30,22.08,$2.84,7.78
2014-03-31,20.17,$3.73,5.41
2013-12-31,21.2,$3.83,5.54
2013-09-30,21.17,$3.39,6.24
2013-06-30,20.06,$2.89,6.95
2013-03-31,19.63,$2.23,8.79
2012-12-31,19.61,$1.47,13.36
2012-09-30,16.48,$1.51,10.9
2012-06-30,20.0,$1.70,11.77
2012-03-31,18.14,$1.81,10.0
2011-12-31,15.24,$1.41,10.81
2011-09-30,13.59,$1.28,10.57
2011-06-30,17.86,$1.57,11.34
2011-03-31,16.87,$1.77,9.53
2010-12-31,14.74,$2.18,6.77
2010-09-30,12.78,$2.52,5.07
2010-06-30,10.87,$2.04,5.34
2010-03-31,12.01,$2.24,5.37
2009-12-31,12.38,$2.82,4.39
