Incannex Healthcare Price to Free Cash Flow Ratio Historical Data,Incannex Healthcare Price to Free Cash Flow Ratio Historical Data,Incannex Healthcare Price to Free Cash Flow Ratio Historical Data,Incannex Healthcare Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.84,,0.0
2024-12-31,2.12,$-0.93,0.0
2024-09-30,1.99,$-0.75,0.0
2024-06-30,2.94,$-1.00,0.0
2024-03-31,3.59,$-0.26,0.0
2023-12-31,4.64,$-0.51,0.0
2023-09-30,1.14,$-0.38,0.0
