AN2 Therapeutics Price to Free Cash Flow Ratio Historical Data,AN2 Therapeutics Price to Free Cash Flow Ratio Historical Data,AN2 Therapeutics Price to Free Cash Flow Ratio Historical Data,AN2 Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.46,,0.0
2024-09-30,1.07,$-2.32,0.0
2024-06-30,2.15,$-2.08,0.0
2024-03-31,3.25,$-2.25,0.0
2023-12-31,20.49,$-2.26,0.0
2023-09-30,16.08,$-2.26,0.0
2023-06-30,8.5,$-2.59,0.0
2023-03-31,9.87,$-0.66,0.0
2022-12-31,9.53,$-2.18,0.0
