HF FOODS GROUP INC Price to Free Cash Flow Ratio Historical Data,HF FOODS GROUP INC Price to Free Cash Flow Ratio Historical Data,HF FOODS GROUP INC Price to Free Cash Flow Ratio Historical Data,HF FOODS GROUP INC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.55,,0.0
2024-09-30,3.57,$-0.31,0.0
2024-06-30,3.0,$0.01,265.49
2024-03-31,3.5,$0.13,27.13
2023-12-31,5.34,$0.27,20.14
2023-09-30,3.97,$0.77,5.14
2023-06-30,4.69,$0.42,11.13
2023-03-31,3.92,$0.69,5.67
2022-12-31,4.06,$0.61,6.67
2022-09-30,3.87,$0.33,11.63
2022-06-30,5.22,$0.42,12.56
2022-03-31,6.66,$0.29,22.79
2021-12-31,8.46,$0.36,23.76
2021-09-30,6.05,$0.21,28.18
2021-06-30,5.29,$0.51,10.35
2021-03-31,7.22,$0.72,10.07
2020-12-31,7.52,$0.87,8.65
2020-09-30,6.61,$1.06,6.21
2020-06-30,9.05,$0.76,11.97
2020-03-31,8.39,$0.30,27.56
2019-12-31,19.5,$0.01,0.0
2019-09-30,17.05,$-0.08,0.0
2019-06-30,34.81,$0.09,371.5
2019-03-31,13.25,$0.37,35.68
2018-12-31,13.3,$0.42,31.45
2018-09-30,15.1,$0.60,25.32
2018-06-30,10.15,$0.86,11.87
