Ames National Price to Free Cash Flow Ratio Historical Data,Ames National Price to Free Cash Flow Ratio Historical Data,Ames National Price to Free Cash Flow Ratio Historical Data,Ames National Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.85,,11.4
2024-12-31,16.43,$1.57,10.49
2024-09-30,18.02,$1.51,11.95
2024-06-30,19.98,$1.29,15.51
2024-03-31,19.4,$1.19,16.33
2023-12-31,20.26,$1.59,12.73
2023-09-30,15.5,$1.56,9.94
2023-06-30,16.62,$1.84,9.01
2023-03-31,18.9,$1.89,10.01
2022-12-31,21.22,$2.05,10.36
2022-09-30,19.69,$2.21,8.9
2022-06-30,19.46,$2.46,7.9
2022-03-31,21.56,$2.91,7.41
2021-12-31,21.02,$3.22,6.52
2021-09-30,19.68,$3.41,5.78
2021-06-30,20.59,$3.09,6.65
2021-03-31,21.27,$3.06,6.96
2020-12-31,19.75,$3.53,5.6
2020-09-30,13.71,$3.25,4.21
2020-06-30,15.81,$3.27,4.83
2020-03-31,16.19,$3.00,5.4
2019-12-31,22.02,$2.19,10.05
2019-09-30,22.26,$2.14,10.38
2019-06-30,20.9,$2.45,8.53
2019-03-31,20.96,$2.23,9.41
2018-12-31,19.26,$2.20,8.76
2018-09-30,20.48,$2.18,9.4
2018-06-30,23.01,$1.95,11.78
2018-03-31,20.16,$2.00,10.09
2017-12-31,20.26,$1.99,10.16
2017-09-30,21.56,$2.19,9.85
2017-06-30,21.94,$2.31,9.51
2017-03-31,21.79,$2.35,9.27
2016-12-31,23.34,$2.38,9.79
2016-09-30,19.42,$2.32,8.37
2016-06-30,18.68,$2.38,7.86
2016-03-31,17.11,$2.61,6.56
2015-12-31,16.64,$2.72,6.12
2015-09-30,15.59,$2.61,5.97
2015-06-30,16.93,$2.29,7.41
2015-03-31,16.63,$2.06,8.07
2014-12-31,17.23,$2.14,8.05
2014-09-30,14.73,$2.15,6.84
2014-06-30,15.13,$2.46,6.16
2014-03-31,14.3,$2.73,5.23
2013-12-31,14.42,$2.55,5.66
2013-09-30,14.33,$3.20,4.48
2013-06-30,14.45,$2.63,5.5
2013-03-31,13.14,$2.43,5.41
2012-12-31,13.7,$2.40,5.7
2012-09-30,12.94,$1.91,6.79
2012-06-30,14.18,$2.35,6.02
2012-03-31,14.58,$2.42,6.02
2011-12-31,11.87,$2.33,5.1
2011-09-30,9.45,$2.19,4.32
2011-06-30,10.9,$2.15,5.07
2011-03-31,11.38,$2.09,5.45
2010-12-31,12.84,$1.86,6.89
2010-09-30,11.74,$1.95,6.04
2010-06-30,11.44,$1.13,10.1
2010-03-31,11.68,$1.01,11.55
2009-12-31,12.23,$1.33,9.17
