Franklin Electric Price to Free Cash Flow Ratio Historical Data,Franklin Electric Price to Free Cash Flow Ratio Historical Data,Franklin Electric Price to Free Cash Flow Ratio Historical Data,Franklin Electric Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,98.01,,20.64
2024-12-31,97.45,$4.75,20.52
2024-09-30,104.58,$4.94,21.16
2024-06-30,95.86,$5.74,16.71
2024-03-31,106.03,$6.12,17.33
2023-12-31,95.69,$5.88,16.27
2023-09-30,88.11,$5.34,16.51
2023-06-30,101.38,$3.52,28.81
2023-03-31,92.49,$2.31,39.97
2022-12-31,78.19,$1.27,61.48
2022-09-30,79.92,$0.09,939.09
2022-06-30,71.5,$-0.10,0.0
2022-03-31,80.83,$0.67,121.1
2021-12-31,91.84,$2.14,42.9
2021-09-30,77.4,$3.09,25.05
2021-06-30,77.98,$3.72,20.95
2021-03-31,76.2,$4.24,17.99
2020-12-31,66.64,$4.05,16.46
2020-09-30,56.51,$4.27,13.22
2020-06-30,50.31,$4.27,11.78
2020-03-31,45.0,$3.30,13.62
2019-12-31,54.59,$3.35,16.31
2019-09-30,45.41,$2.92,15.56
2019-06-30,44.98,$2.28,19.71
2019-03-31,48.23,$2.80,17.25
2018-12-31,40.36,$2.27,17.77
2018-09-30,44.35,$1.30,34.18
2018-06-30,42.22,$1.25,33.91
2018-03-31,38.04,$0.64,59.41
2017-12-31,42.75,$0.71,60.01
2017-09-30,41.67,$1.15,36.17
2017-06-30,38.37,$0.85,45.4
2017-03-31,39.79,$1.38,28.81
2016-12-31,35.86,$1.76,20.36
2016-09-30,37.43,$1.57,23.8
2016-06-30,30.3,$1.85,16.36
2016-03-31,29.41,$1.84,15.97
2015-12-31,24.62,$1.55,15.91
2015-09-30,24.73,$1.66,14.87
2015-06-30,29.26,$1.11,26.28
2015-03-31,34.43,$0.61,56.75
2014-12-31,33.79,$0.28,121.24
2014-09-30,31.2,$0.14,228.92
2014-06-30,36.13,$0.64,56.18
2014-03-31,38.01,$0.76,50.22
2013-12-31,39.82,$0.64,62.08
2013-09-30,35.08,$0.62,56.78
2013-06-30,29.9,$0.43,69.95
2013-03-31,29.76,$0.38,78.39
2012-12-31,27.43,$0.70,39.45
2012-09-30,26.68,$0.99,26.84
2012-06-30,22.5,$1.08,20.83
2012-03-31,21.53,$1.71,12.58
2011-12-31,19.06,$1.65,11.52
2011-09-30,15.83,$1.32,12.0
2011-06-30,20.42,$1.32,15.45
2011-03-31,20.04,$1.31,15.26
2010-12-31,16.83,$1.76,9.57
2010-09-30,14.29,$1.71,8.34
2010-06-30,12.37,$1.84,6.74
2010-03-31,12.82,$1.97,6.51
2009-12-31,12.36,$2.16,5.72
