Norfolk Southern Price to Free Cash Flow Ratio Historical Data,Norfolk Southern Price to Free Cash Flow Ratio Historical Data,Norfolk Southern Price to Free Cash Flow Ratio Historical Data,Norfolk Southern Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,233.54,,23.72
2024-12-31,234.7,$9.85,23.84
2024-09-30,247.17,$7.87,31.42
2024-06-30,212.36,$3.54,59.98
2024-03-31,250.66,$2.16,115.93
2023-12-31,231.25,$4.12,56.06
2023-09-30,191.31,$5.53,34.57
2023-06-30,218.99,$9.59,22.83
2023-03-31,203.39,$11.45,17.76
2022-12-31,235.16,$10.77,21.84
2022-09-30,198.99,$12.01,16.57
2022-06-30,214.67,$11.10,19.33
2022-03-31,268.09,$11.42,23.48
2021-12-31,278.57,$11.87,23.48
2021-09-30,223.02,$11.65,19.14
2021-06-30,246.35,$10.80,22.8
2021-03-31,248.38,$9.88,25.15
2020-12-31,218.91,$9.65,22.69
2020-09-30,196.33,$9.55,20.57
2020-06-30,160.31,$9.02,17.78
2020-03-31,132.58,$9.26,14.32
2019-12-31,175.51,$8.47,20.72
2019-09-30,161.59,$7.88,20.5
2019-06-30,178.36,$7.85,22.73
2019-03-31,166.52,$7.60,21.9
2018-12-31,132.57,$7.06,18.77
2018-09-30,159.25,$7.46,21.36
2018-06-30,132.49,$7.04,18.82
2018-03-31,118.64,$6.00,19.77
2017-12-31,125.99,$5.97,21.12
2017-09-30,114.46,$5.02,22.81
2017-06-30,104.77,$5.08,20.63
2017-03-31,95.9,$4.19,22.88
2016-12-31,92.09,$4.31,21.35
2016-09-30,82.18,$4.10,20.05
2016-06-30,71.6,$1.61,44.48
2016-03-31,69.55,$2.75,25.28
2015-12-31,70.06,$1.93,36.39
2015-09-30,62.81,$1.13,55.41
2015-06-30,71.32,$2.90,24.57
2015-03-31,83.53,$3.01,27.78
2014-12-31,88.46,$2.92,30.35
2014-09-30,89.6,$3.95,22.67
2014-06-30,82.27,$3.94,20.87
2014-03-31,77.15,$3.56,21.69
2013-12-31,73.27,$3.97,18.48
2013-09-30,60.69,$3.37,17.99
2013-06-30,56.6,$3.10,18.29
2013-03-31,59.66,$2.54,23.53
2012-12-31,47.52,$3.12,15.21
2012-09-30,48.5,$2.37,20.44
2012-06-30,54.33,$3.15,17.26
2012-03-31,49.52,$4.40,11.26
2011-12-31,54.45,$3.28,16.62
2011-09-30,45.34,$4.12,11.01
2011-06-30,55.34,$3.68,15.04
2011-03-31,50.88,$2.86,17.82
2010-12-31,45.84,$3.61,12.71
2010-09-30,43.18,$3.83,11.27
2010-06-30,38.25,$3.71,10.32
2010-03-31,40.06,$2.79,14.38
2009-12-31,37.31,$1.73,21.53
