Sharplink Gaming Price to Free Cash Flow Ratio Historical Data,Sharplink Gaming Price to Free Cash Flow Ratio Historical Data,Sharplink Gaming Price to Free Cash Flow Ratio Historical Data,Sharplink Gaming Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.31,,0.0
2024-06-30,0.6,$-1.74,0.0
2024-03-31,1.46,$0.20,7.26
2023-12-31,1.5,$0.11,13.95
2023-09-30,1.6,$1.87,0.86
2023-06-30,2.98,$-5.74,0.0
2023-03-31,3.8,$-7.76,0.0
2022-12-31,3.14,$-2.40,0.0
2022-09-30,8.99,$-2.39,0.0
2022-03-31,14.35,$-1.48,0.0
2020-06-30,25.4,$-0.49,0.0
2020-03-31,18.6,$-0.49,0.0
2019-12-31,20.6,$-0.49,0.0
2019-09-30,22.8,$3.16,7.23
2019-06-30,19.9,0,0.0
2019-03-31,37.0,0,0.0
2018-09-30,35.2,0,0.0
2017-12-31,42.2,$-3.16,0.0
2017-09-30,45.0,$-8.77,0.0
2017-06-30,31.8,$-8.77,0.0
2017-03-31,37.75,$-8.77,0.0
2016-12-31,54.6,$-8.77,0.0
2016-09-30,76.8,$2.23,34.42
2016-06-30,65.7,$2.23,29.44
2016-03-31,60.6,$2.23,27.16
2015-12-31,50.69,$2.23,22.72
2015-09-30,74.99,$-19.51,0.0
2015-06-30,165.0,$-19.51,0.0
2015-03-31,94.8,$-19.51,0.0
2014-12-31,59.4,$-19.51,0.0
2014-09-30,92.4,$26.53,3.48
2014-06-30,94.19,$26.53,3.55
2014-03-31,123.6,$26.53,4.66
2013-12-31,154.74,$26.53,5.83
2013-09-30,103.74,$7.97,13.02
2013-06-30,93.0,$7.97,11.67
2013-03-31,160.19,$7.97,20.1
2012-12-31,213.0,$7.97,26.73
2012-09-30,153.0,$14.00,10.93
2012-06-30,106.2,$14.00,7.59
2012-03-31,120.0,$14.00,8.57
2011-12-31,81.66,$14.00,5.83
2011-09-30,82.2,$-2.02,0.0
2011-06-30,90.6,$-2.02,0.0
2011-03-31,107.99,$-2.02,0.0
2010-12-31,115.8,$-2.02,0.0
2010-09-30,82.2,$5.79,14.2
2010-06-30,81.0,$5.79,14.0
2010-03-31,90.6,$5.79,15.65
2009-12-31,84.0,$5.79,14.51
