MPLX LP Price to Free Cash Flow Ratio Historical Data,MPLX LP Price to Free Cash Flow Ratio Historical Data,MPLX LP Price to Free Cash Flow Ratio Historical Data,MPLX LP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,54.07,,11.24
2024-12-31,47.86,$4.81,9.95
2024-09-30,43.55,$4.66,9.34
2024-06-30,40.87,$4.57,8.94
2024-03-31,39.07,$4.45,8.78
2023-12-31,33.76,$4.48,7.54
2023-09-30,31.94,$4.37,7.31
2023-06-30,29.81,$4.15,7.19
2023-03-31,29.58,$4.37,6.77
2022-12-31,27.57,$4.25,6.48
2022-09-30,24.63,$4.25,5.79
2022-06-30,23.38,$4.48,5.21
2022-03-31,26.05,$4.30,6.05
2021-12-31,22.75,$4.39,5.18
2021-09-30,21.01,$4.22,4.98
2021-06-30,21.32,$4.12,5.17
2021-03-31,18.02,$3.63,4.97
2020-12-31,14.79,$3.23,4.58
2020-09-30,10.36,$2.86,3.62
2020-06-30,10.97,$2.21,4.97
2020-03-31,7.08,$2.15,3.29
2019-12-31,15.06,$1.88,8.02
2019-09-30,16.15,$1.77,9.12
2019-06-30,18.14,$1.77,10.27
2019-03-31,18.53,$1.64,11.34
2018-12-31,16.77,$1.27,13.18
2018-09-30,18.83,$1.26,14.96
2018-06-30,18.23,$1.33,13.7
2018-03-31,17.33,$1.03,16.82
2017-12-31,18.3,$1.30,14.12
2017-09-30,17.76,$1.29,13.74
2017-06-30,16.68,$0.85,19.69
2017-03-31,17.73,$0.73,24.13
2016-12-31,16.78,$0.53,31.68
2016-09-30,16.16,$-0.57,0.0
2016-06-30,15.8,$-0.15,0.0
2016-03-31,13.73,$0.54,25.28
2015-12-31,17.88,$0.95,18.84
2015-09-30,17.17,$2.29,7.5
2015-06-30,31.82,$2.34,13.59
2015-03-31,32.48,$2.17,14.98
2014-12-31,32.43,$2.61,12.43
2014-09-30,25.87,$2.19,11.82
2014-06-30,28.14,$2.06,13.68
2014-03-31,21.25,$1.81,11.71
2013-12-31,19.19,$1.42,13.52
2013-09-30,15.57,$1.16,13.38
