Scholastic Price to Free Cash Flow Ratio Historical Data,Scholastic Price to Free Cash Flow Ratio Historical Data,Scholastic Price to Free Cash Flow Ratio Historical Data,Scholastic Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.8,,10.71
2024-11-30,26.38,$1.76,15.03
2024-08-31,31.63,$2.64,12.0
2024-05-31,35.77,$3.16,11.3
2024-02-29,38.67,$4.14,9.33
2023-11-30,37.06,$3.94,9.41
2023-08-31,42.15,$2.94,14.36
2023-05-31,41.02,$2.50,16.38
2023-02-28,43.81,$0.58,74.97
2022-11-30,39.32,$1.64,23.97
2022-08-31,43.66,$1.53,28.62
2022-05-31,35.54,$5.17,6.88
2022-02-28,39.69,$5.06,7.84
2021-11-30,35.37,$4.32,8.19
2021-08-31,31.11,$3.47,8.96
2021-05-31,31.38,$0.69,45.22
2021-02-28,26.7,$-1.64,0.0
2020-11-30,21.86,$-1.46,0.0
2020-08-31,20.58,$0.21,99.2
2020-05-31,26.72,$-1.75,0.0
2020-02-29,29.02,$0.77,37.8
2019-11-30,33.43,$0.46,72.78
2019-08-31,31.45,$0.76,41.38
2019-05-31,29.55,$0.60,49.43
2019-02-28,37.64,$1.06,35.45
2018-11-30,40.96,$0.96,42.59
2018-08-31,37.13,$0.78,47.63
2018-05-31,39.6,$0.57,69.3
2018-02-28,31.93,$-0.87,0.0
2017-11-30,35.92,$-0.13,0.0
2017-08-31,34.31,$1.95,17.61
2017-05-31,36.86,$2.14,17.24
2017-02-28,38.93,$4.00,9.73
2016-11-30,37.96,$3.69,10.3
2016-08-31,34.53,$2.26,15.3
2016-05-31,33.37,$-3.28,0.0
2016-02-29,29.81,$-3.67,0.0
2015-11-30,36.2,$-3.65,0.0
2015-08-31,36.48,$-2.87,0.0
2015-05-31,37.39,$4.09,9.14
2015-02-28,31.02,$4.78,6.5
2014-11-30,29.63,$-3.56,0.0
2014-08-31,29.11,$-3.29,0.0
2014-05-31,26.38,$-3.80,0.0
2014-02-28,29.05,$-3.76,0.0
2013-11-30,25.04,$3.25,7.7
2013-08-31,24.07,$1.06,22.78
2013-05-31,24.56,$4.17,5.89
2013-02-28,24.33,$5.36,4.54
2012-11-30,22.59,$6.77,3.34
2012-08-31,24.5,$8.99,2.73
2012-05-31,21.53,$6.51,3.3
2012-02-29,24.32,$4.52,5.38
2011-11-30,21.44,$6.35,3.37
2011-08-31,21.91,$5.87,3.73
2011-05-31,21.43,$5.31,4.04
2011-02-28,24.6,$5.28,4.66
2010-11-30,21.95,$5.28,4.16
2010-08-31,18.25,$5.37,3.4
2010-05-31,20.31,$5.99,3.39
2010-02-28,22.77,$8.51,2.67
2009-11-30,19.47,$6.25,3.12
