Kelly Services Price to Free Cash Flow Ratio Historical Data,Kelly Services Price to Free Cash Flow Ratio Historical Data,Kelly Services Price to Free Cash Flow Ratio Historical Data,Kelly Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.89,,24.53
2024-12-31,13.93,$0.57,24.6
2024-09-30,20.89,$1.30,16.04
2024-06-30,21.41,$2.14,10.02
2024-03-31,24.7,$1.35,18.23
2023-12-31,21.31,$1.69,12.6
2023-09-30,17.95,$1.51,11.88
2023-06-30,16.52,$1.12,14.78
2023-03-31,15.81,$0.24,66.33
2022-12-31,16.71,$-2.05,0.0
2022-09-30,13.17,$-1.70,0.0
2022-06-30,18.27,$-2.00,0.0
2022-03-31,21.15,$-1.10,0.0
2021-12-31,16.22,$1.87,8.68
2021-09-30,18.74,$0.68,27.65
2021-06-30,22.79,$1.10,20.75
2021-03-31,21.18,$4.39,4.82
2020-12-31,19.41,$5.75,3.37
2020-09-30,16.51,$6.22,2.65
2020-06-30,14.2,$8.38,1.69
2020-03-31,10.76,$3.57,3.02
2019-12-31,20.58,$2.45,8.4
2019-09-30,24.93,$2.42,10.31
2019-06-30,23.95,$0.13,189.45
2019-03-31,21.92,$1.57,13.92
2018-12-31,20.55,$0.92,22.45
2018-09-30,22.33,$1.09,20.43
2018-06-30,21.34,$0.82,26.07
2018-03-31,26.77,$0.40,67.33
2017-12-31,26.31,$1.18,22.21
2017-09-30,21.17,$0.67,31.64
2017-06-30,20.45,$0.71,28.95
2017-03-31,18.56,$0.79,23.58
2016-12-31,20.45,$0.71,28.66
2016-09-30,16.35,$1.12,14.64
2016-06-30,16.74,$2.06,8.11
2016-03-31,16.05,$1.21,13.22
2015-12-31,14.72,$0.22,66.44
2015-09-30,12.41,$0.49,25.41
2015-06-30,15.93,$-0.21,0.0
2015-03-31,15.93,$-0.43,0.0
2014-12-31,15.31,$-2.45,0.0
2014-09-30,14.34,$-1.02,0.0
2014-06-30,15.26,$0.03,486.0
2014-03-31,20.89,$-0.04,0.0
2013-12-31,21.2,$2.56,8.3
2013-09-30,17.98,$1.15,15.58
2013-06-30,15.33,$0.59,26.11
2013-03-31,16.28,$0.90,18.11
2012-12-31,13.45,$1.07,12.57
2012-09-30,11.66,$0.41,28.53
2012-06-30,11.08,$0.35,31.57
2012-03-31,12.85,$0.56,22.96
2011-12-31,11.81,$0.10,117.49
2011-09-30,11.19,$0.89,12.55
2011-06-30,13.6,$1.17,11.66
2011-03-31,18.11,$1.23,14.73
2010-12-31,16.67,$0.85,19.54
2010-09-30,9.05,$-1.75,0.0
2010-06-30,11.19,$-3.04,0.0
2010-03-31,14.13,$-2.40,0.0
2009-12-31,10.11,$-1.16,0.0
