FingerMotion Price to Free Cash Flow Ratio Historical Data,FingerMotion Price to Free Cash Flow Ratio Historical Data,FingerMotion Price to Free Cash Flow Ratio Historical Data,FingerMotion Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.46,,0.0
2024-11-30,2.04,$-0.11,0.0
2024-08-31,2.22,$-0.12,0.0
2024-05-31,3.14,$-0.13,0.0
2024-02-29,2.67,$-0.16,0.0
2023-11-30,4.23,$-0.20,0.0
2023-08-31,5.11,$-0.20,0.0
2023-05-31,1.63,$-0.24,0.0
2023-02-28,1.44,$-0.20,0.0
2022-11-30,4.24,$-0.27,0.0
