GRI Bio Price to Free Cash Flow Ratio Historical Data,GRI Bio Price to Free Cash Flow Ratio Historical Data,GRI Bio Price to Free Cash Flow Ratio Historical Data,GRI Bio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.0,,0.0
2024-12-31,0.83,$-46.98,0.0
2024-09-30,0.36,"$-3,393.07",0.0
2024-06-30,1.92,"$-3,549.28",0.0
2024-03-31,0.76,"$-3,577.43",0.0
2023-12-31,0.39,"$-3,463.43",0.0
2023-09-30,1.55,$-114.11,0.0
2023-06-30,4.25,$-83.86,0.0
2023-03-31,0.36,$-2.40,0.0
2022-12-31,0.29,$-8.44,0.0
2022-09-30,0.29,$-0.55,0.0
2022-06-30,0.64,$-0.61,0.0
2022-03-31,1.88,$-10.85,0.0
2021-12-31,5.98,$-1.27,0.0
