SHF Holdings Price to Free Cash Flow Ratio Historical Data,SHF Holdings Price to Free Cash Flow Ratio Historical Data,SHF Holdings Price to Free Cash Flow Ratio Historical Data,SHF Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.26,,6.39
2024-09-30,0.55,$0.04,13.46
2024-06-30,0.54,$0.05,10.68
2024-03-31,0.97,$0.03,29.97
2023-12-31,1.42,$-0.02,0.0
2023-09-30,0.79,$-0.01,0.0
2023-06-30,0.53,$0.06,8.58
2023-03-31,0.51,$0.06,8.78
2022-12-31,1.78,$0.09,20.06
2022-09-30,6.99,$-0.02,0.0
2022-06-30,10.61,0,0.0
