Southern Missouri Bancorp Price to Free Cash Flow Ratio Historical Data,Southern Missouri Bancorp Price to Free Cash Flow Ratio Historical Data,Southern Missouri Bancorp Price to Free Cash Flow Ratio Historical Data,Southern Missouri Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,53.63,,9.76
2024-12-31,57.37,$5.50,10.44
2024-09-30,56.29,$5.16,10.91
2024-06-30,44.66,$5.53,8.08
2024-03-31,43.16,$6.75,6.39
2023-12-31,52.45,$5.33,9.84
2023-09-30,37.84,$6.45,5.86
2023-06-30,37.43,$6.09,6.15
2023-03-31,36.18,$6.14,5.9
2022-12-31,44.12,$7.52,5.87
2022-09-30,48.93,$6.62,7.39
2022-06-30,43.23,$7.22,5.99
2022-03-31,47.49,$6.80,6.98
2021-12-31,49.42,$6.53,7.57
2021-09-30,42.37,$6.39,6.63
2021-06-30,42.25,$5.65,7.48
2021-03-31,36.91,$4.84,7.63
2020-12-31,28.37,$4.55,6.23
2020-09-30,21.86,$4.34,5.04
2020-06-30,22.38,$4.13,5.42
2020-03-31,22.19,$3.76,5.91
2019-12-31,34.93,$3.91,8.93
2019-09-30,33.03,$3.27,10.09
2019-06-30,31.58,$3.61,8.74
2019-03-31,27.82,$3.85,7.23
2018-12-31,30.51,$3.77,8.08
2018-09-30,33.41,$3.90,8.56
2018-06-30,34.86,$3.64,9.57
2018-03-31,32.6,$3.52,9.26
2017-12-31,33.38,$3.20,10.42
2017-09-30,32.31,$3.46,9.34
2017-06-30,28.46,$3.12,9.12
2017-03-31,31.24,$2.63,11.9
2016-12-31,31.03,$2.28,13.61
2016-09-30,21.75,$1.46,14.91
2016-06-30,20.47,$1.28,16.03
2016-03-31,20.82,$1.21,17.19
2015-12-31,20.64,$1.31,15.81
2015-09-30,17.82,$1.21,14.72
2015-06-30,16.14,$1.76,9.15
2015-03-31,16.08,$2.04,7.87
2014-12-31,16.11,$1.09,14.79
2014-09-30,15.16,$1.67,9.07
2014-06-30,15.0,$1.39,10.79
2014-03-31,14.46,$0.94,15.38
2013-12-31,13.85,$2.39,5.79
2013-09-30,11.02,$2.11,5.23
2013-06-30,10.57,$1.48,7.13
2013-03-31,10.75,$1.54,6.99
2012-12-31,9.14,$0.41,22.34
2012-09-30,9.74,$0.08,126.2
2012-06-30,8.64,$0.68,12.78
2012-03-31,10.24,$0.98,10.42
2011-12-31,8.94,$1.95,4.59
2011-09-30,8.16,$2.93,2.78
2011-06-30,8.18,$3.21,2.55
2011-03-31,8.74,$3.50,2.5
2010-12-31,6.71,$3.01,2.23
2010-09-30,5.99,$2.06,2.9
2010-06-30,5.75,$1.64,3.5
2010-03-31,5.4,$1.26,4.28
2009-12-31,4.43,$1.82,2.43
