Expeditors Of Washington Price to Free Cash Flow Ratio Historical Data,Expeditors Of Washington Price to Free Cash Flow Ratio Historical Data,Expeditors Of Washington Price to Free Cash Flow Ratio Historical Data,Expeditors Of Washington Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,115.67,,24.0
2024-12-31,110.77,$4.82,22.99
2024-09-30,130.62,$4.04,32.32
2024-06-30,124.04,$4.82,25.76
2024-03-31,120.84,$5.01,24.1
2023-12-31,126.44,$6.75,18.73
2023-09-30,113.3,$8.63,13.12
2023-06-30,119.72,$11.41,10.49
2023-03-31,108.16,$13.51,8.0
2022-12-31,102.07,$12.42,8.22
2022-09-30,86.24,$11.36,7.59
2022-06-30,95.18,$8.22,11.57
2022-03-31,100.13,$5.20,19.27
2021-12-31,130.34,$4.86,26.82
2021-09-30,115.08,$3.91,29.45
2021-06-30,122.3,$3.81,32.13
2021-03-31,103.55,$4.65,22.25
2020-12-31,91.45,$3.55,25.73
2020-09-30,86.54,$3.67,23.59
2020-06-30,72.69,$3.65,19.93
2020-03-31,63.35,$3.49,18.15
2019-12-31,74.08,$4.16,17.81
2019-09-30,70.07,$3.79,18.5
2019-06-30,71.55,$3.37,21.22
2019-03-31,71.08,$3.32,21.44
2018-12-31,63.77,$2.95,21.59
2018-09-30,68.46,$3.46,19.81
2018-06-30,68.06,$3.30,20.64
2018-03-31,58.58,$2.86,20.46
2017-12-31,59.86,$2.63,22.75
2017-09-30,55.04,$1.91,28.77
2017-06-30,51.93,$2.20,23.6
2017-03-31,51.53,$2.37,21.77
2016-12-31,48.31,$2.57,18.76
2016-09-30,46.64,$2.83,16.48
2016-06-30,44.4,$2.93,15.16
2016-03-31,43.83,$3.31,13.24
2015-12-31,40.5,$2.75,14.75
2015-09-30,41.94,$2.59,16.22
2015-06-30,41.1,$2.33,17.63
2015-03-31,42.62,$1.65,25.87
2014-12-31,39.46,$1.82,21.72
2014-09-30,35.64,$1.68,21.21
2014-06-30,38.79,$1.66,23.42
2014-03-31,34.57,$1.78,19.4
2013-12-31,38.6,$1.71,22.55
2013-09-30,38.17,$1.69,22.53
2013-06-30,32.95,$1.59,20.68
2013-03-31,30.71,$1.66,18.49
2012-12-31,34.0,$1.52,22.34
2012-09-30,31.01,$1.70,18.27
2012-06-30,33.06,$1.75,18.86
2012-03-31,39.39,$1.64,23.95
2011-12-31,34.69,$1.76,19.68
2011-09-30,34.14,$1.90,17.96
2011-06-30,43.1,$2.03,21.22
2011-03-31,42.02,$1.81,23.27
2010-12-31,45.75,$1.63,28.04
2010-09-30,38.59,$1.18,32.58
2010-06-30,28.8,$0.86,33.34
2010-03-31,30.66,$1.16,26.33
2009-12-31,28.87,$1.37,21.09
