Weibo Price to Free Cash Flow Ratio Historical Data,Weibo Price to Free Cash Flow Ratio Historical Data,Weibo Price to Free Cash Flow Ratio Historical Data,Weibo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.17,,11.71
2024-09-30,10.08,$0.87,11.61
2024-06-30,7.68,$2.65,2.9
2024-03-31,8.26,$2.65,3.12
2023-12-31,9.95,$2.65,3.75
2023-09-30,11.4,$2.39,4.77
2023-06-30,11.92,$2.20,5.41
2023-03-31,17.14,$2.20,7.78
2022-12-31,16.34,$2.20,7.41
2022-09-30,14.61,$4.98,2.93
2022-06-30,19.77,$3.39,5.84
2022-03-31,20.95,$0.28,74.84
2021-12-31,26.48,$3.39,7.82
2021-09-30,40.59,0,0.0
2021-06-30,44.97,$-0.25,0.0
2020-12-31,35.03,$3.11,11.28
2020-09-30,31.14,$2.69,11.56
2020-06-30,28.72,$2.69,10.66
2020-03-31,28.3,$2.63,10.77
2019-12-31,39.61,$2.69,14.7
2019-09-30,38.25,$1.98,19.36
2019-06-30,37.22,$1.98,18.84
2019-03-31,52.98,$1.93,27.39
2018-12-31,49.94,$1.98,25.27
2018-09-30,62.5,$2.30,27.15
2018-06-30,75.86,$2.30,32.95
2018-03-31,102.17,$2.66,38.44
2017-12-31,88.42,$2.30,38.41
2017-09-30,84.56,$1.00,84.51
2017-06-30,56.81,$1.00,56.78
2017-03-31,44.6,$1.00,44.57
2016-12-31,34.7,$1.00,34.68
2016-09-30,42.85,$0.78,54.96
2016-06-30,24.28,$0.78,31.14
2016-03-31,15.34,$0.78,19.68
2015-12-31,16.67,$0.78,21.38
2015-09-30,9.99,$-1.18,0.0
2015-06-30,14.65,$-1.18,0.0
2015-03-31,11.02,$-1.18,0.0
