National Beverage Price to Free Cash Flow Ratio Historical Data,National Beverage Price to Free Cash Flow Ratio Historical Data,National Beverage Price to Free Cash Flow Ratio Historical Data,National Beverage Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,39.75,,21.22
2025-01-31,42.05,$1.87,22.45
2024-10-31,45.19,$1.79,25.22
2024-07-31,48.79,$1.67,29.15
2024-04-30,41.47,$1.79,23.16
2024-01-31,43.09,$1.69,25.57
2023-10-31,43.22,$1.65,26.15
2023-07-31,49.25,$1.78,27.71
2023-04-30,46.31,$1.49,31.03
2023-01-31,41.19,$1.36,30.21
2022-10-31,44.19,$1.06,41.73
2022-07-31,50.49,$0.96,52.37
2022-04-30,41.08,$1.11,36.92
2022-01-31,41.63,$1.25,33.38
2021-10-31,49.48,$1.57,31.43
2021-07-31,39.81,$1.84,21.61
2021-04-30,42.63,$1.80,23.69
2021-01-31,66.48,$1.84,36.07
2020-10-31,32.28,$1.89,17.1
2020-07-31,26.45,$1.66,15.95
2020-04-30,20.71,$1.64,12.61
2020-01-31,17.69,$1.40,12.65
2019-10-31,18.13,$1.27,14.31
2019-07-31,17.95,$1.01,17.81
2019-04-30,23.09,$1.08,21.43
2019-01-31,34.57,$1.22,28.4
2018-10-31,36.87,$1.29,28.69
2018-07-31,42.08,$1.45,28.96
2018-04-30,35.24,$1.31,26.93
2018-01-31,44.06,$1.27,34.82
2017-10-31,39.05,$1.25,31.13
2017-07-31,40.73,$1.20,33.81
2017-04-30,34.78,$1.07,32.44
2017-01-31,19.7,$1.03,19.15
2016-10-31,18.02,$0.86,20.91
2016-07-31,21.87,$0.82,26.61
2016-04-30,17.82,$0.73,24.3
2016-01-31,15.77,$0.63,24.96
2015-10-31,14.35,$0.56,25.48
2015-07-31,9.06,$0.52,17.44
2015-04-30,8.52,$0.52,16.44
2015-01-31,8.29,$0.51,16.29
2014-10-31,9.58,$0.53,17.94
2014-07-31,6.54,$0.46,14.14
2014-04-30,7.35,$0.43,16.96
2014-01-31,7.91,$0.37,21.62
2013-10-31,6.98,$0.40,17.61
2013-07-31,6.78,$0.38,17.77
2013-04-30,5.62,$0.33,17.04
2013-01-31,5.27,$0.39,13.43
2012-10-31,4.84,$0.28,17.03
2012-07-31,4.72,$0.28,17.01
2012-04-30,4.84,$0.30,16.14
2012-01-31,5.45,$0.30,18.4
2011-10-31,5.51,$0.35,15.69
2011-07-31,4.81,$0.46,10.53
2011-04-30,4.53,$0.47,9.56
2011-01-31,4.38,$0.43,10.25
2010-10-31,3.98,$0.55,7.24
2010-07-31,3.95,$0.53,7.41
2010-04-30,3.23,$0.50,6.48
2010-01-31,3.21,$0.48,6.67
2009-10-31,2.75,$0.54,5.06
