MediWound Price to Free Cash Flow Ratio Historical Data,MediWound Price to Free Cash Flow Ratio Historical Data,MediWound Price to Free Cash Flow Ratio Historical Data,MediWound Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.05,,0.0
2024-12-31,17.8,$-2.00,0.0
2024-09-30,18.06,$-2.23,0.0
2024-06-30,15.52,$-2.45,0.0
2024-03-31,14.25,$-2.41,0.0
2023-12-31,10.17,$-1.88,0.0
2023-09-30,10.64,$-0.83,0.0
2023-06-30,10.66,$-1.24,0.0
2023-03-31,13.32,$-1.57,0.0
2022-12-31,13.49,$-2.49,0.0
2022-09-30,9.73,$-3.59,0.0
2022-06-30,12.88,$-3.39,0.0
2022-03-31,13.93,$-2.68,0.0
2021-12-31,16.52,$-2.42,0.0
2021-09-30,23.38,$-2.78,0.0
2021-06-30,26.81,$-1.86,0.0
2021-03-31,37.59,$-2.28,0.0
2020-12-31,25.9,$-2.01,0.0
2020-09-30,26.32,$-2.52,0.0
2020-06-30,20.79,$-3.15,0.0
2020-03-31,10.99,$1.96,5.59
2019-12-31,21.7,$1.93,11.24
2019-09-30,22.4,$2.85,7.87
2019-06-30,23.66,$2.97,7.98
2019-03-31,35.0,$-2.96,0.0
2018-12-31,28.42,$-3.27,0.0
2018-09-30,43.05,$-3.93,0.0
2018-06-30,48.3,$-4.62,0.0
2018-03-31,36.4,$-4.51,0.0
2017-12-31,31.15,$-5.25,0.0
2017-09-30,37.45,$-5.39,0.0
2017-06-30,47.6,$-5.81,0.0
2017-03-31,46.2,$-5.64,0.0
2016-12-31,32.05,$-5.48,0.0
2016-09-30,53.9,$-5.73,0.0
2016-06-30,55.23,$-5.98,0.0
2016-03-31,56.49,$-6.29,0.0
2015-12-31,59.78,$-6.44,0.0
2015-09-30,53.41,$-6.62,0.0
2015-06-30,49.49,$-6.38,0.0
2015-03-31,50.68,$-6.02,0.0
2014-12-31,46.62,$-5.92,0.0
