Compass Therapeutics Price to Free Cash Flow Ratio Historical Data,Compass Therapeutics Price to Free Cash Flow Ratio Historical Data,Compass Therapeutics Price to Free Cash Flow Ratio Historical Data,Compass Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.24,,0.0
2024-12-31,1.45,$-0.33,0.0
2024-09-30,1.84,$-0.36,0.0
2024-06-30,1.0,$-0.32,0.0
2024-03-31,1.98,$-0.32,0.0
2023-12-31,1.56,$-0.32,0.0
2023-09-30,1.97,$-0.31,0.0
2023-06-30,3.18,$-0.38,0.0
2023-03-31,3.27,$-0.34,0.0
2022-12-31,5.03,$-0.32,0.0
2022-09-30,2.28,$-0.57,0.0
